player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2LJYVJV9G,Energy|Green😼,313,66196,16868,PIPER,26
#JYRJYGJ2,imreallymadnow1,304,64410,30847,PIPER,28
#J2QLVUVV,Fusion,271,62135,17406,PIPER,30
#8YQYJYV9J,Zurio,290,61153,19501,PIPER,26
#8RRRPYCR,Rubcarre,305,59544,16725,PIPER,26
#8C8L9L2JJ,BU|AiGuM,291,59453,22592,PIPER,26
#2Y9ULJPCU,🤬M.L.🤬,385,57715,13987,PIPER,25
#99RL8QUU2,愛|Lary'Aiko♓🎎,341,57414,22470,PIPER,30
#PUJVYPV09,あ死┃𝕽𝖊𝖎𝖛𝖎❦,273,56511,15637,PIPER,27
#220CRV8G,will🗡,233,55433,15632,PIPER,25
#9UPQ20GVJ,surgeon,311,55497,32042,PIPER,26
#VJ2LL28,kevinsito•,269,55083,14244,PIPER,25
#2YQ08CY8,Juice13,283,54174,12876,PIPER,26
#PVVL2QY8Q,SWEATY PITS🤮,255,54031,11473,PIPER,28
#2V9802VJ,Loud 🥝,248,52948,16371,PIPER,30
#2LJVPRUP,S30 | Kobra,243,52599,17458,PIPER,22
#LYCCLL2V2,XMaster,205,51414,8921,PIPER,24
#PRYPCP2R8,GDH | Thomas,284,50099,15059,PIPER,28
#URQVJGRU,RandomBozo,312,49565,18437,PIPER,21
#V2J2Q0QL,Rayhanmars,244,48182,14916,PIPER,23
#P0GLQQPJ,S30 | Bunji,216,48183,15108,PIPER,23
#9PYUUPV0,S30|🅿️layboi🐰,236,48107,13048,PIPER,23
#9JQQR9GLR,RatchyTV,253,46602,16030,PIPER,26
#RYCRCYLJ,jacob🖤cär✞i,263,46157,17546,PIPER,26
#CRVUYYUU,blacksavage,239,43899,10484,PIPER,29
#GJLJLJ8UG,MythicYT,150,41597,6180,PIPER,28
#PCY0QRPYJ,Aj,175,40334,7515,PIPER,21
#V8YR8UC,Smkyros,204,37147,10743,PIPER,20
#RJV08U02,Jayrod,182,37055,6475,PIPER,21
#RC0GUVUY,Krod,156,23620,4382,PIPER,16
