player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#YL20G0U28,smit,264,63610,16577,PIPER,26
#8P8YGU2PG,ɢᴜᴄᴄɪᴍᴏᴏsᴇ | ʏᴛ,278,63470,16913,PIPER,30
#22R928G22,GinjaNinja,255,62923,19505,PIPER,26
#92YVP8JJP,《「D3M0N1O」》★彡,308,62277,25676,PIPER,27
#PCU280PU,Eminem,307,62061,15238,PIPER,26
#2Y0G2PGG0,Why Haven’t You,263,62203,19409,PIPER,30
#U9VRRP2,°~`G-raffe®`~°,307,62053,23987,PIPER,27
#2YJG99J2,𝒮𝒾𝓁ℯ𝓃𝓉 🥀,326,61800,27645,PIPER,30
#9VU8G9C8,KRAKEN™️,250,61318,20140,PIPER,30
#P9VVCPYRV,Angelito<3 🙂,250,61281,12238,PIPER,28
#UVPJ228R,sorry im washed,275,61011,21407,PIPER,28
#PQJV2002,Mike,256,60745,14031,PIPER,28
#L2RV8Q9G2,CTM|Fear,254,60426,14979,PIPER,25
#29VJ2CPGC,Tribe | ☆ ICE ☆,293,60068,22943,PIPER,27
#2YLQV2GU,B2G2,414,59967,56584,PIPER,25
#GUU8CUYP,BS MUFASA-YT,266,59747,15574,PIPER,27
#PVRCG98G0,🦧HENNYNATOR🦍,317,59118,22404,PIPER,26
#229999QQJ,Danny10,278,58910,19031,PIPER,26
#2LY8R2PU,WilltheGreat,386,58423,44346,PIPER,30
#80R8CP0RL,浤|иιxу 🤍,337,58021,38268,PIPER,29
#99PL2V8L9,𝓣𝓲𝓶🥀🧸,230,57868,12099,PIPER,29
#82JQVJJL,Goblin,286,57709,16274,PIPER,23
#8UJV9QCJG,Retribution,197,57447,9559,PIPER,21
#8CVP8Y2LQ,brawlsuperstar,250,56780,14314,PIPER,27
#8Q98QQQP8,♡Darkshadow♡,249,56212,12277,PIPER,27
#GYRCU88R,R<>L,245,55093,17000,PIPER,28
#29JPYJRJ,FRANC0,323,53752,19792,PIPER,25
#2GGLLRR0L,bloodnight,237,52094,7002,PIPER,24
#Y9G9Q2CLG,Nemesis,281,50767,14586,PIPER,23
