player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PYGG2Q0GV,⛩️|Mikey64|🥀,281,60610,10345,PIPER,26
#2GQ99C9YU,Herbalife🥀,202,60253,5643,PIPER,26
#8J2YLVVV8,Zack,328,58658,29519,PIPER,26
#22G2QP8Y,DARK,329,58428,26920,PIPER,25
#2LY88UU2L,"""ManuxStar""",369,57356,22148,PIPER,26
#8YJ9P98G0,LinkBv,302,57193,24543,PIPER,24
#VCY9R9QU,✰𝗧Һєⅅ𝖊íɞ𝘺ⅆѕ✰,316,56424,28755,PIPER,29
#22P89G9RL,SunnRayze,251,55835,15088,PIPER,27
#2PQY8RRQJ,❄️YAEL('-') ❄️,282,55463,16398,PIPER,25
#RG9LV2QP,padu,310,54953,23875,PIPER,30
#Y9LVL2UY,210 4I9 64IO,295,54266,16486,PIPER,30
#PG9280LU9,machisimo,292,53741,25899,PIPER,22
#PRRCPQ2CJ,Fabri SC <3💋,280,53602,13569,PIPER,30
#9QGJY2209,joaco,226,53404,14403,PIPER,27
#YPCU92P9,Soren780,315,53295,26143,PIPER,24
#P0CRUU8GU,soy boy,209,52710,10569,PIPER,24
#PY0RCCYPP,Alan swich,278,52510,16391,PIPER,23
#PUC9JVQYV,ʟ ᴏ ᴛ ꜱ ᴏ 🧸,316,52760,24013,PIPER,25
#JQVYQULL,YungDagger13ick,325,52423,28158,PIPER,27
#8G8LVL2G2,滅 | BM206ツ,268,51872,5580,PIPER,25
#VJR0GVGL,𝔍𝔓𝖌𝖑𝖔𝖝𝖙❦,266,51308,21451,PIPER,26
#22RCY8JU,み│𝐶ℎ𝑟𝑖𝑠 🌹,250,50985,12847,PIPER,26
#YGJ09LYPR,consigliere,241,49268,16896,PIPER,27
#98P99CG9C,xByKross,245,49142,10530,PIPER,27
#PU0JCCCPQ,PRIDIE,236,48426,14436,PIPER,25
#YR92CP2JP,Epic$as,264,47562,15375,PIPER,28
#8G9UCVL9J,💖Colette simp,209,47029,8027,PIPER,20
#9PYPJ9PQG,david :v,202,46044,9026,PIPER,19
#8PPLQVLQ0,TNX|Dark Fire🔥,189,39429,7944,PIPER,23
#LP2R8Q9QU,friturimga,129,27103,3079,PIPER,21
