player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#RRVVPG2Y,Brosta卡拉,411,103402,64795,PIPER,35
#20C80QUY9,ECP|GuGu,464,102533,86704,PIPER,35
#G99CYGL,REV|Zaiko🌟,453,98762,89421,PIPER,35
#YQLY9CYVY,Vm | Nath,392,97060,56287,PIPER,35
#Q808R2CV,Nes🦋,388,96736,50388,PIPER,35
#2RG0LV02,Sco❤️‍🩹Thom,329,92084,40375,PIPER,35
#2PYR2LY0,lemoncbon 🍋,328,88622,40864,PIPER,35
#8LCCU2G29,GNS|JυʂƚThom🐬,381,88888,53804,PIPER,35
#JJ92RGPL,Jus,384,83146,35800,PIPER,34
#2PP9LCCUC,HsO乂,338,82390,31026,PIPER,35
#JC2R928,LLC | Dodge,432,82394,49253,PIPER,35
#2UL29RQCY,あ | White💘,392,81121,51756,PIPER,35
#QVLUL8QV,Oncl3pick|Tv,437,81009,67553,PIPER,30
#JPYQYL02,Code : Kuzan,353,79862,50971,PIPER,35
#GCQ20QUU,REV|Max🌸,372,79284,46911,PIPER,31
#220YV8R08,vM|Silver,329,78569,40280,PIPER,30
#GJQ2G9YL,𝚣Lars𝚇🦋,369,77443,33543,PIPER,33
#222R82RCU,HK|Gionik,341,77271,33609,PIPER,33
#PQYU8QR,LeMoove,319,76771,41878,PIPER,35
#2RJUVUPR,ØS|🥀Wīnd>.<,326,77001,29614,PIPER,30
#298UJ82UV,N!MA,421,75887,54307,PIPER,32
#9PJLQRPYC,歲Spārt 😡,349,75229,22458,PIPER,30
#P8LVLJ0JV,Hᴀɴᴀɢᴀᴋɪ竹道,374,75298,48710,PIPER,30
#R8YL92R,Titance🗝️,398,74780,52157,PIPER,31
#2PQL2CR8R,Sacha.lbf,323,74398,30108,PIPER,30
#28YGY9PP,Nash:(,408,71884,65991,PIPER,32
#2R29J2,Code : GAEL,398,70708,25886,PIPER,30
#22YRLPCVP,vM | Shigou,272,70651,18646,PIPER,31
#29GG8RR0V,Sked|Achile🧸,294,68706,28194,PIPER,30
#8LCQ02VJ,Code : PERIADO,229,65100,15660,PIPER,30
