player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9RG9PLPLQ,Ace of Spades,225,60688,6025,PIPER,26
#Y89YL22Q,TheFullSender,257,59138,9000,PIPER,25
#P8JCGJ2G0,ScarletKi,260,58861,12687,PIPER,25
#PVG0P9JGR,HeadShot,218,58308,8763,PIPER,25
#8920QU2R9,Brandon,283,58010,17833,PIPER,26
#P80PUC9U,hard,321,57511,32083,PIPER,28
#2P0PQYUYG,Darryl,263,57257,9795,PIPER,25
#9LVPLJ9GY,Tribe|Crow,239,56628,10057,PIPER,26
#8R99VJRY8,Chicago Steeler,256,56355,18310,PIPER,29
#YQVVC0VYQ,bacon boy,224,56000,5612,PIPER,25
#80PV8JGPU,𑁍┊𝒦𝒶𝒾𝓏𝑒ȵ,282,55327,9926,PIPER,27
#8JQRU09G,Sweaterballoons,268,55084,15784,PIPER,23
#8C8U82PJU,BUS,293,54671,19068,PIPER,24
#2Q8022YQ9,FIRECLUTCH,246,54019,16175,PIPER,29
#22PYU29LG,Firm Newb,257,53631,15579,PIPER,23
#2UVLGY9J,\_(0_0)_/,249,53579,7677,PIPER,28
#PYJ0JJP8G,Warrior !,374,53371,26949,PIPER,25
#8GQYL9U99,🥤Americano🥤,372,53127,35918,PIPER,22
#Y0YCRCGRJ,12345 :),273,52702,15143,PIPER,25
#9Y92RJ2LU,Doomed愛,236,52318,11659,PIPER,25
#9UQ9URYCQ,BS|Spooky🔥,247,51235,5027,PIPER,24
#V2890JVP,Milkyfuzz,193,51137,12107,PIPER,22
#2LP9RJVVJ,kelvin,255,51055,14166,PIPER,23
#QQY8U9U,gaboo,252,50902,10454,PIPER,22
#2URL2JRQ0,CoolIan,271,50623,13691,PIPER,24
#U2V8QJJV,Scythe,247,49529,11657,PIPER,24
#QL299GVG,Pingüi,285,48897,12201,PIPER,23
#LY92PCJ2L,ProScope 狼,210,48552,9412,PIPER,22
#9JG22Y99V,Super brawler,302,48120,16765,PIPER,21
#Q9LYCQLL9,ElectroPro_YT,105,20659,2796,PIPER,15
