player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#29L028GQL,BC*| Djahsta🦜,432,100853,69582,PIPER,35
#U0UQUVGU,Crux✨,303,100670,29039,PIPER,35
#QR2GC8V,RP|IceCrow,390,98836,55177,PIPER,35
#99LP2PUQ9,CHS|Jabko🧸,329,91529,37711,PIPER,35
#99PUPJ0JR,Prince 💙,369,86425,26865,PIPER,33
#YJ0JLP9,bestplayerno🧢,390,84828,22631,PIPER,35
#89L889CJC,Golden Aqua💛,361,84141,13239,PIPER,30
#88RR2LQ8J,Nowly⚡️,337,83232,24672,PIPER,33
#PYUJYRCU0,Gentzuke,295,83044,24411,PIPER,35
#Y99Y2CUV,慷|𝑵𝒆𝒓𝒐𝒙𝒙ツ,385,82380,40588,PIPER,35
#9LYUUJPYG,INR|Neptun⚡,348,82110,32075,PIPER,35
#U8LQRGPR,Malxas ☀️,344,81536,31019,PIPER,30
#9VUVJYQJL,🌀Azucoᴳᵒᵈ 🍭,432,81298,31557,PIPER,31
#9GPRCL2G9,NixX🤍,307,81261,30058,PIPER,32
#2UU929P89,MO | 𝙰𝚕𝚎𝚡☔️,329,80907,22719,PIPER,35
#CCY28CR9,「𝐒𝐘」𝐌𝐎𝐍𝐎〆,332,80837,34690,PIPER,35
#G2Q2UY8G,Flooooo 火,403,80431,49293,PIPER,30
#CGRPYJ8R,кค๏ร🫐,392,80200,43511,PIPER,30
#GJL8P8VG,MO | 𝚇𝚊𝚗𝚏🍜,378,80564,47484,PIPER,30
#PQ0LVCQ,LaLYoU,350,80218,22180,PIPER,35
#PLUR0YGGQ,MO|𝐃𝙴𝚅,328,79423,15050,PIPER,30
#9JRP0P2CR,TTV|Ribeirix23,358,79328,45617,PIPER,30
#Q8CV9PLG,RxX|Rami 🍉,407,79157,41768,PIPER,34
#9CC99LRVJ,danielegg,341,78745,14092,PIPER,32
#8P9PC9Y2R,~Sneaxx 🍂,355,78916,27887,PIPER,30
#PLUVVQRY,akraam♡michelle,396,78714,37297,PIPER,30
#98LYRQUQJ,SleepY🕊️,272,78359,25218,PIPER,30
#892QC9PP2,Kábús♛,373,78353,41363,PIPER,30
#2UGQY2Y29,☃️|savatyⁱˢ ʰᵒᵗ,286,77651,17658,PIPER,30
#2JURUYL9L,MO | Sokzz☘️,339,73584,26010,PIPER,30
