player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#P8Y9LQY0,CurtleTheTurtle,395,71614,41790,PIPER,30
#YR89QPY,ShishkaBroh,295,71438,19902,PIPER,30
#CPVGJYCP,Hydro,289,70344,22376,PIPER,31
#UCU88U2P,Spáde♠️,347,69472,32320,PIPER,30
#2VU9UJYR,sam,331,68979,29650,PIPER,30
#R0PQCVVJ,rodd * ˚✦,359,68813,45377,PIPER,30
#9988RJ80P,Mathmaster,281,67723,14364,PIPER,27
#9Y2JL98J,Zekenator,330,66790,28210,PIPER,30
#98GRR0L02,jex,289,63883,17804,PIPER,33
#CJRYL0RC,Nixᶫᵒᵛᵉᵧₒᵤ,303,63576,21824,PIPER,28
#90G0VPJUQ,Merlin,355,62120,33754,PIPER,27
#8RQ8RVQVQ,slayer,423,62108,18104,PIPER,26
#2RJ9UU000,Mr.Fresh,278,62253,15941,PIPER,30
#2PC2UPUCR,OpstarMaster,340,61139,28080,PIPER,26
#2JJ8Q8UUC,Saturn 🛸,260,59886,11837,PIPER,29
#829VUP8PG,winner ツ}🐉,279,59271,11895,PIPER,31
#22LYP98VG,3:am,230,58754,14561,PIPER,30
#20QC28RPR,火 | •𝓑𝓵𝓲𝓬𝔃,207,55759,13960,PIPER,30
#22UR99G9G,ZETA | Lucky>.<,232,53036,12633,PIPER,30
#8J8JVUPY2,C00LKID,219,53029,11944,PIPER,26
#VJQ8YL2,Syncx 🦍,296,52967,23327,PIPER,28
#89QCPRUL,Chief Teef,256,52227,18748,PIPER,24
#JC8URYGR,Brawler,210,51681,9670,PIPER,26
#8G89P09R,J͢͢͢XN ᴿᴬᴳᴱ,207,51244,12506,PIPER,24
#JCGYQCRL,A.W.F.,251,50486,11680,PIPER,25
#8CYP8980Y,Gummy Bear,233,49622,6247,PIPER,22
#9Y90QJJGJ,Eddie Z,234,42326,14092,PIPER,27
#80Y2U929V,solarbestツゲ,200,41947,10371,PIPER,28
#LY2LLVPG,mR6785,162,24189,2976,PIPER,30
