player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#Q9PQ9VUV8,Tamazo,236,61649,8274,PIPER,26
#8L0PJ8PGL,TØXIC ☢️ JAT,242,60728,15173,PIPER,31
#29VQP8GYJ,IX |LeGeNdArY,347,58628,16050,PIPER,30
#QR8LY9VQP,Itz_Aether,229,58016,13671,PIPER,28
#YV0CQVJV,(MG) FENCER,285,56919,20699,PIPER,26
#P0VCJUJV,SuperDerp,288,56139,14005,PIPER,25
#28UJGVVGR,~RE§Ø•Π∆ΠCE~,351,55397,25207,PIPER,27
#8VUL02P,Kinetic,359,55383,25892,PIPER,26
#LGRU2CPV,hysix,248,54785,7940,PIPER,26
#Q9LQLY0P,IM CRACKED,255,54651,11545,PIPER,26
#99YJJGJJ0,mr violent,286,54362,18157,PIPER,25
#UR9JG202,mwahaha😈,232,53949,13613,PIPER,27
#8R9P0JP,BlaZe,206,53643,8684,PIPER,26
#98Q99Y9C8,ilay best,264,53138,14012,PIPER,27
#80LV2VUJR,u so lucky,304,53098,28803,PIPER,27
#PR90VGUR,Maxiboom,311,52794,30866,PIPER,26
#R0QQ80JG,ま|Justix💫,282,53413,14210,PIPER,26
#9LPJ8889U,ThePro2U,293,52274,24490,PIPER,21
#2QQP0YCPP,ybfan26,260,52103,12751,PIPER,23
#8CPLL028,Zer,379,51775,33241,PIPER,27
#RYY2QL9Q,hoboninja9999,215,51821,13822,PIPER,21
#YCG8L8UVC,Lil PoopStain,223,51323,6724,PIPER,26
#L2RV0JQC,tidylover,283,51277,15088,PIPER,26
#99YVRQJCQ,VRX|VecTronkZ⛩,243,51074,11644,PIPER,26
#YQJVR0080,My Teammates R,215,51053,12400,PIPER,27
#P9UVP8990,ASH 03,252,51031,13373,PIPER,25
#8V80C0982,🎋|imboss🐐,211,50793,7738,PIPER,26
#L8YYQQR2R,HVNS-07,197,50820,4813,PIPER,23
#28CGP09UU,kyle37,240,50592,17592,PIPER,25
#LVGU99CYV,lxym,180,50140,2483,PIPER,25
