player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#YGQ2PQP0R,Panda💜Nemesis,333,79345,28680,PIPER,31
#28Y8CU9Q9,hh >.<,368,77377,40692,PIPER,30
#PUU0RYPP,信𝐊𝐨𝐧𝐢𝐧𝐣𝐚,350,73623,37143,PIPER,34
#9PJGC0LY,Nemesis💜Panda,312,69503,29680,PIPER,30
#Y0UU08028,Retired Soma😴,299,68625,16818,PIPER,32
#Q0LJLYRP,TW|initial,300,67035,23614,PIPER,28
#9CRL099U,noob sam🥶,322,64818,26289,PIPER,28
#2GGJVC0RU,SK|Jay,220,61769,12379,PIPER,28
#80RP2UGGR,TW|Vroom,301,61760,26400,PIPER,26
#2QJ828QR8,__,243,61249,16790,PIPER,34
#8J90R0J29,willow🍁,346,59659,33741,PIPER,27
#8G99UUVL9,Andrew,267,59088,11017,PIPER,25
#YCLJQLVJR,Bongo el crack,239,59104,14836,PIPER,26
#90C2Y292L,Justin,250,56854,10268,PIPER,26
#29YCUCCU,TW | 𝑭𝑹𝑶𝑺𝑻,279,56400,19062,PIPER,30
#JVUJLCL,Toulmin24,321,56385,28452,PIPER,27
#8YV988P8,TW|Lig 💫,313,56490,29228,PIPER,25
#8GY80L0UV,Banana Man,232,55571,12026,PIPER,24
#2222GPRC,itsD3lux3XD,292,55702,21041,PIPER,25
#222LJ2CPY,Fernan,268,54752,18572,PIPER,26
#2JPGYVQ0P,poisonowll,258,54212,15437,PIPER,26
#2J2QUV8,BAX6,242,54174,9869,PIPER,22
#29RJ8UCR,Robert2815,260,53666,16793,PIPER,24
#J2PL2L2,TW|K1738,265,52389,12367,PIPER,26
#YUPJR9CL,DankSinatra,294,50397,22317,PIPER,25
#U8RV2C9,TW|♨︎ Lav,267,49711,16942,PIPER,25
#PPC2R9J,Avs,273,49244,17562,PIPER,25
#2QRGC0UQ0,DeadlyBladeツ,247,48422,10718,PIPER,23
#902UR9PR2,TW|anul,210,47668,14611,PIPER,26
