player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#229CR0GU,👻|Rona🦇💀😷,311,67666,22816,PIPER,27
#2LVVCQL2Q,Krypt,308,67594,26485,PIPER,30
#Y2R89VV2C,👻|Classified,247,65336,8207,PIPER,27
#29V2Q28UR,👻|Tourniquet,376,65106,19695,PIPER,29
#8Y880908L,❄️|Combat💙Alex,280,62540,12340,PIPER,30
#J8URCRCV,Brawler Bret,276,61458,15113,PIPER,26
#9PLJVRQ82,SS|Drago225,270,59244,20945,PIPER,27
#9JVRYUQC8,MrBlazian,362,59426,39999,PIPER,26
#2QRVU8PCR,Rubeekeon,338,59059,28658,PIPER,26
#8R89J82V,IX|Yata,290,57835,23798,PIPER,27
#LCC9GPUY,👻|ODB Trav,308,57894,26197,PIPER,26
#8PPP0YY2R,•|Justin|•,297,57522,23164,PIPER,28
#2Y90P9VQ9,7|SpringVacae72,250,57320,9532,PIPER,28
#28JVPVGG9,Smack,291,57325,27998,PIPER,25
#P8QYVPV8,It's Loisyy? 💔,223,58220,14933,PIPER,29
#9P9JGQ000,AZ|InfiniFrost,244,56314,12768,PIPER,28
#8J9U9CL2Y,hyak kills u 👻,298,56119,21347,PIPER,25
#9UY20P0R,👻|Sports🐥32,385,55330,27448,PIPER,22
#8LGR0QCUJ,bmore,265,54817,19475,PIPER,25
#Y2CCGQGRJ,RZ,203,54529,12311,PIPER,23
#28VGP9UPR,Max Fire|A&D,216,53705,10383,PIPER,24
#V9CJ2RP,Jack,307,53251,24017,PIPER,25
#22U9Y28YJ,"DJ_NoSoap,Radio",322,51262,27013,PIPER,24
#892VQVCP,It’s|br@¥łøn,209,51094,12162,PIPER,22
#QLGY0QLG,👻|GeometerMoth,288,50976,18960,PIPER,25
#YR88YR9,Billiam,246,49093,17405,PIPER,23
#98902JP,AMR SHALABY,283,48547,18631,PIPER,24
#8UG08ULV,Loe,328,48362,22321,PIPER,25
#28Q0CJL2,👻|Melty🧀,252,45414,9968,PIPER,23
#YUUQPG28J,SUPER|不会玩 ♫,181,36376,8403,PIPER,24
