player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#22VG89JL9,Joey🖤,450,79170,46740,PIPER,35
#PQGPL0C9J,YEET,319,76444,7270,PIPER,35
#PCVJV8VL2,pat♡︎,307,72234,12043,PIPER,35
#9UQYRYPVY,hi,258,68385,15204,PIPER,30
#9CGY0GYJY,drewᴼᴺ ᵂᴵᴵツ︎,268,65117,15520,PIPER,30
#P088YC0JP,Jayden :),318,65057,25230,PIPER,30
#2YPRVC28C,Shiva 🪓,271,65324,14062,PIPER,30
#P0G8J9Q88,SAVAGE,302,63588,26671,PIPER,28
#CV9Y9VP0,🎭| Limpu,317,63592,25430,PIPER,29
#2LY0RRL8Y,acrux,311,62777,24094,PIPER,30
#8UUCR2JG,blueshot,259,62121,16130,PIPER,28
#22PGJY0Y8,✨Real Science✨,312,61864,21202,PIPER,28
#89R9RRPJ9,MiamiBlue,265,61684,15017,PIPER,26
#89PY9PPP,Aℓex❤️,339,61405,28781,PIPER,29
#2J2R9QJ0Q,WEASEL,261,61094,18166,PIPER,27
#PVG9JGY2,Pipi Dump,244,60881,8539,PIPER,29
#202VG0288,StarPlayer💫,348,60736,26345,PIPER,29
#9QR8V0L8Y,destroyer,265,60300,15840,PIPER,27
#8U0R292PG,BleuWolfie,241,60134,19620,PIPER,30
#PRPVCQYJC,爱|𝓜𝓪𝔁𝔃🀄️,266,59823,19363,PIPER,24
#9C8JJ29CY,thalen 🏖️,232,59938,14679,PIPER,30
#8PJJQC9P,swish,323,59850,22024,PIPER,27
#20JULQL2,Tara-bull,245,58907,3628,PIPER,26
#2Q9PCPCYQ,发｜Burrito😴,286,57781,13563,PIPER,30
#8RJVPPVJQ,Defalt,291,57495,24677,PIPER,25
#C9QLQPPC,𝘽𝙎| 𝔸𝕁 ♡,259,56257,10639,PIPER,21
#CUUGCUG2,Butt Cheek,225,55432,9173,PIPER,27
#Q22YCRYQ,dat boi E,265,54513,12762,PIPER,26
#UP8CQULJ,🎭| Ashy,247,50443,14839,PIPER,23
#2L90GJC8V,drake,189,45928,7893,PIPER,21
