player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#CJPLURCV,Lucky9000rizz🍀,306,70250,18262,PIPER,30
#20PUV0GCL,D💘S|Kongou,300,66733,17762,PIPER,30
#GQC8VLJC,BOOMER,276,65011,7345,PIPER,28
#2RUYRY98,Last🖤Hour,288,63421,18401,PIPER,30
#9P8VC9928,~|N!€|~,239,62419,11673,PIPER,30
#QG98PR09,Buster Cherry,331,62003,29952,PIPER,29
#Y29VYU2UP,GERD,237,60813,8972,PIPER,28
#99V22829,C-Flow👹,320,60476,12739,PIPER,26
#P22P8G2P,爱 | Soral 🥀,250,59494,16041,PIPER,27
#Y0GJLUJCP,Finecone,293,59001,12771,PIPER,25
#20VYYV0V9,DingleBerry,266,58657,18434,PIPER,26
#8QVCPG9L,Tech🖤Frog,242,58298,16104,PIPER,27
#8VVYJUV0,Cheddy<.>_<.>,281,57701,24840,PIPER,24
#2PUL0UP2L,Franky le monk,283,56778,21974,PIPER,27
#2Q2RG9QLR,Noodles,274,56764,16388,PIPER,30
#20RQRR0C0,BoAndArrow,269,56102,22164,PIPER,25
#9LV0GJ2L9,Troll Basher,216,55284,10152,PIPER,25
#JUCQGLCJ,❄️B3AR❄️,284,55138,17328,PIPER,26
#PG08J8P2,Frog🖤Last,297,54500,19176,PIPER,26
#8YCVGQP2,Juvian,246,53657,14065,PIPER,25
#P9VLU2GGJ,Tribe | ng,199,53145,9623,PIPER,25
#YCJJPGJCC,Rex,196,52466,5244,PIPER,28
#LQ8P9RYP,DB|Eagle Clash,270,52452,18298,PIPER,26
#UQGU82L2,imdead_23,227,51744,9642,PIPER,25
#LY00G8R9,IBI Slayer IMI,313,51447,24477,PIPER,25
#L92L8QGVP,Nothing,221,50646,8456,PIPER,25
#9QY8RYQ0L,Atlas😴,214,48438,4134,PIPER,25
#2CCG28JC9,Cookie🖤Blake,189,35732,6519,PIPER,22
#QPV8PJUQ2,sͥᴏɢɢʏᴍɪʟͣᴋͫ☠,107,16964,2970,PIPER,16
#GVCU00RLV,Lucky's son,38,5863,391,PIPER,11
