player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#UQYVJJY0,M&L|mathiasツ🧨,306,71397,19712,PIPER,29
#8CC2CJ20,M&L|Łų¢åšẞ1Ø,293,70959,20526,PIPER,28
#9PYRUCRL,jate,282,66762,18497,PIPER,27
#Y9GCL099J,𝕊𝔾𝕁|𝓢𝓪𝓷𝓽,190,64570,10987,PIPER,31
#2PUGGL92,Legacy,255,64500,18879,PIPER,30
#22CYGGGL,EnZy,297,64058,18280,PIPER,30
#8VVU29C8L,SC | Surfer 🐬,259,63342,14039,PIPER,30
#PQG2RLL9L,Gael ᶫᵒᵛᵉᵧₒᵤ,301,62072,21322,PIPER,28
#22VGQQUJV,Drehin,279,61861,21887,PIPER,27
#9QLGJQ0Q0,🇺🇸TRB|Omar🗡️,317,60496,28223,PIPER,30
#JQYL82YJ,PotatoMaster,262,59714,15235,PIPER,26
#JQGC2GVC,Daddy,256,59527,9808,PIPER,25
#89VJ9PC0V,J-Bot_Jr,273,59219,12668,PIPER,28
#80VRPVU2C,Trevor,308,58941,22024,PIPER,29
#8Y90RQYQ,LOL?,324,58855,18274,PIPER,27
#92R9LU9QY,LordKei|BLM,225,58050,12088,PIPER,24
#8PJGYGQ2G,Slice,272,57267,17620,PIPER,27
#2RJP892GQ,J-Bot_Jason,238,57773,10124,PIPER,26
#28GGLCURJ,jq3X,312,57032,15600,PIPER,28
#90G9CVUPQ,Rah2Tact,257,56238,15177,PIPER,25
#8GR0YG89Q,Vannos_fan,275,54779,4695,PIPER,26
#U99GRCPJ,7|Tyler💫,277,54209,17747,PIPER,27
#8CQ8JLPG,Cap’n J,228,54157,9057,PIPER,22
#LYYYQ2L99,NotChatterbox,226,53930,8114,PIPER,22
#209G8LJ9P,sid,236,53287,10058,PIPER,27
#92Y8PJLGU,❄️XlajerX❄️,268,51418,17999,PIPER,27
#8PJJC8L2V,ImAaronTV,295,51040,12903,PIPER,23
#9LQ0GCJ9J,ComingInKidsIs,200,46954,8281,PIPER,30
#29P282J8V,🕺[SEB]🕺,179,40338,7336,PIPER,21
#JRRV89V,HK|H3NY3L,144,21188,4433,PIPER,20
