player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#980UQYGLV,Slay🩵Twin,374,73243,27910,PIPER,30
#22UQY08J2,☁𝕊𝕙𝕙𝕙𝕙☁,271,70029,11961,PIPER,30
#9RYCVU09U,squeaks💙,259,69444,11992,PIPER,30
#RUJYL08Y,BrawlerKS,342,69051,35894,PIPER,28
#GLUQ8YLQ,IX|Fanta,260,66800,15029,PIPER,30
#L20CJ8LU,Themarshmallow,315,65454,22558,PIPER,28
#P9RV92V0,Xman|Kën Cärson,258,65070,26826,PIPER,30
#Y0UVRCYG,𝙔𝘯𝘨𝘿𝘮𝘰𝘯☄,338,63097,34949,PIPER,26
#GQGLY92J,NICO ABUNDANCE,226,63102,8439,PIPER,25
#202RCRQQY,KD|Ƨ卂几刀ㄚ🌴,278,61874,15004,PIPER,29
#9JJ0VYV9P,blue lazer,281,61522,14930,PIPER,27
#82L0LU8GJ,𝘈𝘭𝘦𝘹𝘪𝘴 神,241,60577,6654,PIPER,29
#20U0UGPR,Ydejeans:)corn|,317,60566,31462,PIPER,31
#9LCYULPVV,SZ/ZAID,287,60543,14172,PIPER,26
#9Q8L2QCPR,thomas810,300,59938,18061,PIPER,30
#2PP9Q0R2Y,Typo,292,58487,13507,PIPER,30
#PPCLRC9YJ,Inso❤️‍🩹Stu,258,58628,16179,PIPER,25
#209GLRYJU,SLY_YX,227,58134,14429,PIPER,26
#9PQVR02J,hide in bush,260,57776,9041,PIPER,27
#9UJP9VQJ,Thereal,259,57601,8808,PIPER,28
#VPV8QCJ,🦧🦧🦧SOY🦃🦃🦃,316,57612,24615,PIPER,29
#899L89RQ,𝑻𝒉𝒐𝒏𝒚乡,287,57446,20351,PIPER,35
#2889QRJL9,D@ni €l,244,57369,8413,PIPER,25
#29C0VCP2P,HYP3RF1N,241,57344,13509,PIPER,24
#8J8URV8CY,Cobra|Killer,225,56863,10049,PIPER,29
#9RJ008GGY,Destroyer,294,54507,22182,PIPER,23
#2VU8CVGCQ,AJE,237,39246,17209,PIPER,23
#LPPVU2JJ9,49ers,187,38401,6944,PIPER,27
