player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#GLLLYPV,TurkeyTenor,280,69455,24889,PIPER,31
#G08LGGQ,90 Degree Angle,285,69091,24389,PIPER,28
#YYL0290P,Strawhat,297,68814,29340,PIPER,30
#8LL8PPPY,Lasericecream,266,63223,10017,PIPER,27
#UJLYPP02,ß¥€,327,63012,25431,PIPER,29
#9JYLUUG,Ryan,368,62473,41108,PIPER,29
#J9U8JVR9,Stargabriel,295,61423,14366,PIPER,30
#YCRLG0GQQ,Hyper,247,60943,8233,PIPER,27
#PPJ8G0YG9,DiegoCV,352,59765,27486,PIPER,26
#YQG2PY02,tvl,277,59425,19748,PIPER,30
#82CQLQ0J,DrSnipz23,260,59416,9170,PIPER,26
#Y2GLY0YP,Joey,353,59190,34105,PIPER,27
#2U8LGVUL,␈𝓑𝓑𝓸𝓶シ,213,58091,7427,PIPER,25
#2R2RL0RC,pdaddy,271,58028,15645,PIPER,25
#29LPPPUP2,Sτe√eท✨,282,58027,15077,PIPER,26
#2CPGQR82J,Grapeseed|Tree,265,57930,22296,PIPER,31
#PU82888JL,nezuko simpio,217,57301,11865,PIPER,23
#9RCJ2YJV8,⚡AKT|Maor⚡,287,56882,15784,PIPER,24
#GR8CPYCC,Esterno,256,56282,7561,PIPER,26
#8R802PPC,GG_Easy,266,55968,13999,PIPER,26
#8R9PV02UR,The Targeter,220,55929,12808,PIPER,28
#GJU8LVCP,Brawler,273,55904,14526,PIPER,25
#QR0RPJ99,K༙྇O༙྇N༙྇Y༙྇ 𓅓,284,55753,12778,PIPER,27
#8Y9VJG0Q,Backwoods,260,56128,19607,PIPER,31
#2PU8G8VLG,-φSiegeRuneφ-,245,55327,15000,PIPER,26
#88JQGPR8G,sølo,232,54436,12606,PIPER,26
#8Y8G89CYL,cadenman,245,54257,11507,PIPER,27
#8VY8JR9C,Heart_Reaper,285,54526,25266,PIPER,26
#8CVLVLJPG,Fenzi💞Zava🧡,219,53786,6924,PIPER,25
#2RQ0CV9G2,Nate,256,53287,14476,PIPER,26
