player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8UUJVVJGQ,jonh,362,84835,14786,PIPER,35
#2PLL2LY8V,bru ithinki jus,254,71809,9229,PIPER,29
#29JU98UUC,BB|Mrsfaultm330,291,68637,8037,PIPER,35
#YQ0QUJ2R,JAM|Clipz,254,64579,4650,PIPER,29
#998Y800J2,ALT | Ariza,300,62508,26150,PIPER,26
#9P9C0VLV2,ytivkr,343,60844,28740,PIPER,30
#YVUCQQ2,*Abhigod*:-)*,308,58857,14921,PIPER,28
#JGP8Y8PC,RoyGamer230! ❤,314,58767,31332,PIPER,28
#LPCQ0R2P,aleegmez_™,339,57544,34766,PIPER,25
#9PLV280UY,withzack,288,56172,22928,PIPER,26
#8U0PCVC2Y,Mr. Hamster,270,54461,15698,PIPER,23
#8GJLU0PJ,𝔣𝔞𝔱𝔥𝔢𝔯,285,53711,25155,PIPER,22
#LP2PR0J28,Easy Dubs,184,53459,6465,PIPER,22
#2Q9LQGRGY,Just kidd’in,227,52469,6001,PIPER,24
#8UJ0PUP0,Boden Da Legend,262,52218,5265,PIPER,26
#2PRGGJVP,BrawlerMax,268,51783,1707,PIPER,25
#882JR0GQ8,チ | 𝖪𝗒𝗋𝗈,209,51135,9192,PIPER,26
#2JP890QV0,Pa,230,50415,10851,PIPER,28
#8U9LGP0CV,『T』『i』『m』『o』『n』,288,50370,13687,PIPER,27
#UVQ9LGR,002,315,49814,16313,PIPER,26
#YV22CLQ2Y,💫platinum❤️‍🔥,199,49723,4125,PIPER,26
#2Q8VCU2V,“IM GROOT”,251,49453,16752,PIPER,21
#Y0RU02C8R,ﾒ𝓕𝓇𝑖ⲍ𝚣♚,211,48043,8652,PIPER,25
#29PPULR2C,LY|WTF,237,47332,14564,PIPER,23
#2UYLU9UG0,epicgamer 54,244,47028,8291,PIPER,23
#9UPL8QRV0,B2B|Dark,196,46914,6487,PIPER,26
#YQCP2GQ90,MIT,209,46708,12320,PIPER,24
#Y2PCJGUQ2,$$♤cety1er♤$$,241,46204,8411,PIPER,22
#20Y0C0P,SK|High Sly,233,45861,12830,PIPER,22
#2LGV28G2Y,Felix1019,235,45767,13173,PIPER,27
