player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#28YP9LPUG,Will Smith,370,68408,44597,PIPER,28
#9JPJCRJR2,🐺THUNDER🐺,324,65444,19119,PIPER,28
#88JCLJ8P,👻»ŃØØB«👻,349,62573,24618,PIPER,29
#L8PQLP9J,اسامة✌,354,61756,21810,PIPER,27
#2UCRQPJR2,melon lord,284,60329,12881,PIPER,29
#8PU2ULU,Valek,266,58775,15333,PIPER,24
#9RRYUQ2V,𝐹𝑒𝑎𝑡ℎ𝑒𝑟❦,316,58575,19740,PIPER,26
#20P9V2J9Q,Flexy,252,58408,17625,PIPER,28
#Q02V0YGUV,crmage,254,58315,14976,PIPER,26
#20QPUPG0Y,montse,252,57222,8495,PIPER,28
#99C08890,BURR,335,57105,26045,PIPER,26
#8VJ28LGCL,owen,234,55555,16591,PIPER,25
#9ULU8G09C,Brawler,253,55351,12962,PIPER,26
#8G8GGRQ,Cansguel,353,55121,28145,PIPER,27
#22V999JCQ,/ᐠ-˕-マ६ʳịͥcͣѕͫN,242,55086,13816,PIPER,28
#2GVPQ8RRP,Zeal,343,54892,32367,PIPER,28
#P0R2GLVJ,noobzlord,278,54726,19224,PIPER,23
#QGCVJ9JC,Rochi M.,347,54819,32972,PIPER,25
#8Q99JQRU2,Dcoqk d Kate,279,54636,10495,PIPER,24
#2Y0RGU9P9,wizard,247,54522,14788,PIPER,27
#PRLPCVPQV,LG| POTATO,196,53685,3760,PIPER,22
#9JGVP0982,⛱️Føreverᵍᵒᵈ✨,366,53747,11357,PIPER,25
#8QLYQ0U8,T-Dawg,256,53201,14151,PIPER,28
#8V2LVPPPG,!!!,198,53028,6498,PIPER,29
#998G802Y,Mr Quan,281,52994,21719,PIPER,29
#YQ80L2R2P,LD|David🗡️,227,52516,10068,PIPER,30
#GRQQPRGJ,greenblanky,246,51065,7374,PIPER,27
#VP2CL882,Dave,236,50729,14416,PIPER,24
