player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8QJ0YUV8Q,🧪 | 𝒦𝒶𝒾,341,87346,19623,PIPER,35
#QQRYR8JJ,🧪 | 𝐿𝒶𝓃𝒶,275,78408,14236,PIPER,35
#99QCYUVPL,MOCHA,306,77068,22282,PIPER,35
#9PQUGLV08,Logan🍙,277,69740,21461,PIPER,31
#VC2LUY20,shushu,286,69223,18083,PIPER,32
#2GGPUJC92,DuCk,274,67761,21614,PIPER,30
#PRRL2GV,Crzycodes,357,68046,30786,PIPER,29
#L09VVG9P,SWA | StarShine,304,67104,22337,PIPER,30
#8RRGC0VCL,platz,379,66993,49407,PIPER,30
#CP99QPCQ,joe,274,67037,4941,PIPER,35
#9RG09VR2L,Carne Asada#2,328,64772,17652,PIPER,28
#2CGPQ9PLP,Frizly,233,65055,13413,PIPER,30
#2GLG90G9R,4T|Stevegamer,354,64523,38829,PIPER,35
#9QYUVPL,Triple ☈ Ken,329,63583,35584,PIPER,30
#2RP2G8CY9,goofy✨,222,63562,13639,PIPER,30
#Y0P29J8G,Nico,270,63657,12579,PIPER,30
#2JGJYJL90,Gɪʀᴀғғᴇⁱˢ ᵏⁱⁿᵍ⛩,307,62380,25192,PIPER,30
#2J2R8JR9,jbo,202,61683,8472,PIPER,30
#P829QJVU2,Oäk,221,60910,6690,PIPER,28
#28VP2CPG,Hankey,287,60099,17546,PIPER,26
#2CP2PRJPV,Diesel.,275,59088,10294,PIPER,25
#LJ2GUU980,⚡️🌪Moͥℝtͣiͫs🌪,318,59324,27125,PIPER,30
#PCLUPJLJY,Chunky Dog Barf,237,57811,11049,PIPER,26
#8Y8YP9LCG,Narwhal 🐳,264,57592,18805,PIPER,30
#2RU2QYVVY,Nitsuj the 2nd,222,55429,8174,PIPER,25
#JJ0UJRUY,シ︎|Adrian|シ︎,311,55369,14157,PIPER,30
#9VJG9LPGR,Plague 🐊,220,51579,19972,PIPER,35
#PL2V2V8U,•BeatzzZ•,254,44527,14991,PIPER,30
#90R9LLGYV,Lemirc,273,61101,13393,PIPER,31
