player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#RPUGQVRL,saladman 🥗,317,71037,26219,PIPER,30
#LUQ8RU8P,🔹💠💎💠🔹,327,67224,26023,PIPER,28
#20QJLYPR2,hubs,308,64242,27137,PIPER,28
#2YC22JUG0,MikeWazy99,282,63723,19592,PIPER,31
#282UPQ9UJ,Cambion,340,60274,15091,PIPER,27
#29JJU2UCC,Spareawin ✦,269,59462,19535,PIPER,30
#22LGVRYQ,Filter,360,59276,43898,PIPER,27
#PU2Y8RRP,Captain Levi,295,57825,25497,PIPER,26
#2Y0CCPJUV,Sanju,246,56459,16896,PIPER,27
#PQ0JLU8Q,anon 🍵,288,56014,23250,PIPER,30
#2RV8L8J0G,tyreek,311,56766,19052,PIPER,32
#9UUJ2L2G,B2B|XGreener,260,55676,10471,PIPER,28
#CCV9CLV0,Reaper,391,54601,44391,PIPER,24
#29JJY2RLU,Mongut,204,54499,12926,PIPER,30
#RCG909YJ,Feelings | BDH,265,53803,18476,PIPER,26
#2JVVYU20,⚡️NJ⚡️,348,54373,39462,PIPER,25
#2P20LRQU,Ayeccs,297,53296,20411,PIPER,24
#QR982GUL,BBD | vivian,281,51532,25679,PIPER,35
#892YJJU,Gabrielittos,360,51683,25506,PIPER,28
#8VPR8JJU8,Ph@t cat,243,51031,16307,PIPER,22
#8GLRQCVU,daboss927,296,51481,24851,PIPER,28
#88VQRQ8J0,AZianFOO911,255,46888,18684,PIPER,27
#U2RQ29QU,unfunnee🌊,286,45848,16270,PIPER,24
#LPLG28,Wompom2,231,45810,13238,PIPER,23
#UJYUQJUJ,Aidgnus,220,44630,12390,PIPER,26
#2YQU0G99U,second❤️lena,292,50000,21649,PIPER,32
#288PUGPJ,Vlac 🪢,269,39826,19323,PIPER,26
#YGYLVRJ2,Daen,346,39081,42923,PIPER,26
#2CJGP0CV,kenji🧙🏻‍♂️,229,41742,11990,PIPER,24
#GP2LCYLUL,pogchimp mini,148,34832,7585,PIPER,25
