player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2JCURGC2C,Sinful,264,80456,24531,PIPER,35
#8U09U00UP,Alexander21285,276,73292,11373,PIPER,29
#8J2CVRUU,𓂀𝓝𝕿𝓩𝓔꧁🃏꧂,395,72411,49094,PIPER,30
#PUYC899U,desire,389,69439,61367,PIPER,33
#2P89V8V8,envy,367,67601,48589,PIPER,30
#2C82PRQ80,Marcuzitã🩵,230,63103,11140,PIPER,27
#9P8JGL9UP,pride,273,63484,17805,PIPER,30
#Y88QPPJC0,OG | Joe💙NG,259,63850,4925,PIPER,30
#8G0J2JV2J,corrupt corpse,261,60375,10628,PIPER,26
#29GLRLVGQ,Winneton,317,60279,19833,PIPER,25
#98PUCPJY9,73,244,60202,13591,PIPER,26
#88G22RC9C,‼️CurlyyHeadd‼️,242,59726,7697,PIPER,31
#LPPV2JQ2C,juice,206,59081,13648,PIPER,30
#2V09LPPJC,❆𝑆𝑛𝑜𝑤𝑦❆,241,57942,9914,PIPER,27
#2QJRCGQQ,Kazuya,368,57952,27217,PIPER,26
#82VCQ98RP,Panag,315,57350,23847,PIPER,28
#9JR0PJ92P,キ | devum,242,57286,14803,PIPER,28
#PJJRY829Y,⛩ | B-//Rad🎋,221,56899,12274,PIPER,27
#VP0J2U2L,𝑭𝕒ₖᵉ𝑚𝕒𝖌ⁱc,272,56495,17537,PIPER,25
#PUPQUCP9U,後 | SķyGôd,203,56085,10946,PIPER,30
#9UCJ92C9Q,lX|𝖕𝖑𝖆𝖙𝖔❦,260,56074,13971,PIPER,33
#9C8GY0QQJ,water,220,56100,12956,PIPER,28
#8CYUYCP2,𝑆𝑝𝑜𝑜𝑘𝑦,231,56012,17129,PIPER,20
#8Y89JVRRG,OG|ÇØŁT,243,55770,10453,PIPER,25
#2C08LJJJP,ice bear,272,55682,15770,PIPER,28
#28RRY9C02,[EJ] Sir Seph,279,55547,17618,PIPER,30
#R00RG8U,Tristan,233,55317,14041,PIPER,29
#P08PJLU,Nitro❄️,305,55003,7927,PIPER,30
#9CVYRV9UQ,negro,232,54075,11599,PIPER,23
#RVG2GGL2,Korean Messi,237,53152,9799,PIPER,29
