player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2C9ULP0R,Sl1c3,263,62299,17706,PIPER,27
#8PQPUCCG,💕|Squid🐙,281,61818,14035,PIPER,30
#PPVJUPLR,SS | YouAreDie,250,61018,12561,PIPER,29
#200GJGRVJ,Akame,246,60202,6919,PIPER,28
#8JRQ9QV0,EZ|Sweep❤️‍🔥,237,58204,11411,PIPER,25
#2VYVGQJV9,isaac5xd,316,57581,28709,PIPER,28
#2CV999VL,Milk♡,217,57370,13494,PIPER,28
#V00V09QR,Hi,245,56759,14469,PIPER,27
#202CYGJG2,水 |「iac」🧿,293,56720,21321,PIPER,29
#JL8YRCJ,staffmaster,214,55060,8887,PIPER,30
#UGRRLRQ2,DLT|PAINKILLER!,257,54920,15742,PIPER,28
#2UQ8JCLQ8,beast54,264,54572,14338,PIPER,29
#28Y0P9LVJ,Mii Brawler,240,53927,7389,PIPER,27
#GJ2YLR8R,Gball,234,53007,14897,PIPER,23
#82RV8QY0,TT | hotdog,243,52295,12001,PIPER,23
#8PUJUUR00,HI,212,50598,11691,PIPER,24
#82UCUV8LG,Some1,220,48652,10774,PIPER,35
#28R0V9J8J,𝒷𝓁ℴℴ𝒷ℯ𝓇𝓇𝓎,209,48468,11365,PIPER,28
#2PVVG8YCQ,너의 미친 두개,224,48244,7748,PIPER,26
#88V0JU99U,Itsy4boi,303,47982,23022,PIPER,30
#U2LVUCU0,Lickyᶫᵒᵛᵉᵧₒᵤ,250,46612,18114,PIPER,30
#PQG9Y9PLR,|Cirice|,226,46058,14740,PIPER,27
#PQR980YUY,TLG|MrBacon1919,196,45562,6185,PIPER,23
#JQPPCVUY,BarrettCarrot,181,45451,4577,PIPER,23
#YQY0QU9L,zman,211,44810,10741,PIPER,27
#QVVYQVU00,Agenda,209,44319,7754,PIPER,26
#8JP9P9V0V,ThursdayLmao,219,43519,12214,PIPER,27
#2PRGP8YPY,a.state.of.mind,189,41214,7930,PIPER,25
#899YRVPQQ,佛哦｜0ｔ７,213,40135,11927,PIPER,27
#GQPCV8C9V,Duke106,152,39231,5990,PIPER,22
