player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#Y8CQQRG89,whale🤍🎀,275,63077,10185,PIPER,30.0
#9UV2V99CC,YT|MakarLegend®,250,62151,8872,PIPER,30.0
#V8L9UYQ,Elro,315,60182,31990,PIPER,29.0
#PJU9Y2RGY,⛩️Saizer⛩️,339,59340,32535,PIPER,26.0
#2YL298VJ8,NooBas,270,57942,11214,PIPER,26.0
#2VLQ0QUVL,RaiJin🦢,283,57076,24430,PIPER,26.0
#UP2PLPJ8,Santa,253,56767,5738,PIPER,28.0
#9QJ2RGPVJ,Flying Miner,260,56688,9215,PIPER,25.0
#8V089QVCG,$KAW_HAW$,280,56712,15007,PIPER,30.0
#2VCYQJ0VC,✌️LImenSTaY,283,56684,12078,PIPER,30.0
#PPQ2CG298,Z.A.H.A.R,278,55346,10554,PIPER,30.0
#8C2R2V9UU,🥀QLS|IcEwOlF🥀,250,55304,9689,PIPER,27.0
#GY2Q9VQ2,☀️StrawHat|🇰🇿,211,55535,11809,PIPER,31.0
#PQRR2P2UP,Zylo💞づおえ,221,54601,9350,PIPER,26.0
#8QJ98Q90G,NaVi|Sam,228,53508,13901,PIPER,27.0
#JLG289V2,êbÿ @łìbäbÿ,342,53552,12417,PIPER,30.0
#9RLLLGQYU,dishiks,238,53786,10997,PIPER,28.0
#Y9J802Q9V,Duo♡Wiku🐬,168,53232,5447,PIPER,24.0
#90QQ8000R,syxezz🎀原本ヘッ,218,53221,6071,PIPER,28.0
#8QLQUV8YP,Fruunks 🧸,294,52467,8518,PIPER,26.0
#8JVP2YC9R,这么𝐦𝐚𝐧𝐧𝐚🎩。,270,52397,8518,PIPER,30.0
#98GC8UVUR,WC|☢️Aventadorシ,226,52046,8011,PIPER,25.0
#90JJ2999,🍁Ёж|duali♡st🦔,235,51749,14469,PIPER,30.0
#8JLLCLRLG,СЛУГА,257,51562,13098,PIPER,30.0
#YGRRY99V,°Perchik°,220,51051,7514,PIPER,27.0
#CCPJ8UU,tsundoku🩸,217,50948,11015,PIPER,29.0
#828L2C8YG,бочок поТИК,267,50631,8520,PIPER,26.0
#URQP8JY8,Dil Pups,289,49640,20902,PIPER,30.0
#P2CU98PJP,FW | Sap⛩,309,41376,13576,PIPER,24.0
#2YC009RVL,Klubnika,109,25007,4203,,
