player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8R99J8RP0,Clashy|💕,310,80979,25678,PIPER,31
#222LY9VCQ,隆 |Best 🧸,341,78781,23460,PIPER,30
#9CRJJ2VY0,𝐭𝐌𝐫 🐳,309,78468,15753,PIPER,35
#J29VYY0,DontMessWithGum,380,77421,30678,PIPER,30
#289RLYVGP,⌖ᴀʟᴛᴇʀᴇᴅ⌖,435,75199,41660,PIPER,33
#PCJ8LCU2,Isaac ✦,334,74925,34372,PIPER,31
#9PLL9JCGQ,Justin,332,74459,30334,PIPER,30
#P9PRLV09,Furkan Ceylin,305,71527,18702,PIPER,30
#PV989VQ,AE|HI >.<,368,70361,21811,PIPER,35
#2RQVL2VQY,OpbrawlStars,331,70119,21725,PIPER,30
#9JUJQGV9,Meep,370,69771,40214,PIPER,28
#9UJVYGPG,BoBo20110316,309,68788,16930,PIPER,30
#9VYGPUYV,👎🏿Tyballin🌬️,343,67608,30177,PIPER,30
#JQ8QRUQJ,GoldenGOACH,324,66624,26128,PIPER,27
#90QY8YRYR,ᴿᵃᶦⁿ,227,65981,13495,PIPER,30
#PL20GJJ,Lynx,277,65420,12698,PIPER,31
#R89RRGY,VD2Timez🥀,321,65042,28498,PIPER,35
#YPQUGG9PJ,Honda Civic,248,64764,22060,PIPER,29
#RCP80G00,jimky,326,64149,19998,PIPER,30
#RPRGLLPP,BlueJ4Y 🔪,274,64068,19401,PIPER,35
#2L9JQUC0Y,BadManners ✨,311,63637,29641,PIPER,30
#GUR99CQ0,TellingKoala183,295,63964,19092,PIPER,26
#2QQ2YVRLP,Darkwall2,322,63405,19612,PIPER,28
#PGPR2QJLV,Kdot 🤵🏿‍♂️,298,62961,14651,PIPER,30
#20PQRJGP,☁️𝒫𝒽𝒶𝓇ℴ𝒸☁️,328,62460,26639,PIPER,27
#82QVP2C0Q,KIRITO,343,62063,40193,PIPER,25
#8PJ9QQ982,"You Bot, He",313,62052,22105,PIPER,30
#CUGV88VG,Titann,349,61609,34624,PIPER,26
#98RP2JCJU,𝚃𝚘𝚊𝚜𝚝𓃱,318,61736,20752,PIPER,30
#9PP002Y9,死 | Sleepy 😴,300,58669,15635,PIPER,29
