player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2VJUQ2920,壽 | Zesty ⚡️,334,64661,17822,PIPER,35
#RUPU0Q9,fatgiraffe919,376,64816,28372,PIPER,30
#9GJYP0JC,griffin,389,63438,28234,PIPER,26
#2PG9UQL9,SB|ThorofTrolls,361,63247,35783,PIPER,27
#88YG9UL2,𝓞𝓶𝓮𝓰𝓪✰,282,62872,18922,PIPER,30
#9LCGJVLV9,SiYo BS,389,61385,6638,PIPER,27
#YYCGJLLL,SamG,333,60647,35293,PIPER,27
#RJGV2YU0,Timmy❤️Jesse,332,60224,16492,PIPER,30
#PQ9V9QU08,NA|Serra🏄‍♂️,187,59827,8545,PIPER,26
#2U0GVVCG9,Jacob🌊,344,59036,24732,PIPER,30
#22YUQGRVP,phantom11,310,57939,23488,PIPER,26
#2GYJURQG0,Sub-G@Taterz,351,57223,19133,PIPER,25
#8PVGQCUY,WaXy,179,54504,7808,PIPER,28
#VQYQQQJ0,Ehsan,317,53488,28735,PIPER,25
#YGQ8Y0U,ciacono7,291,50825,23965,PIPER,26
#9L0CG8RJY,I forgor 💀,278,50460,14788,PIPER,28
#9RYVVCP90,kamoney,195,49860,6801,PIPER,22
#9P08LLGC,爱 · yogi 🧸,238,49185,12133,PIPER,25
#2VL9CQGRJ,SB|Zombie076,371,48046,19989,PIPER,22
#92PVRR2LP,Stroke my pokis,303,47361,15264,PIPER,30
#YYGYU2UR9,Zara,240,47727,10080,PIPER,25
#URJYRYGG,NanNandy9,198,46896,7443,PIPER,26
#22GG2JRLR,Duffman,317,46388,27890,PIPER,22
#899Q98QCV,Euphori,275,46215,20710,PIPER,23
#2G8JVJPV8,myteamisa$$,178,45953,6723,PIPER,29
#9LLUJGRVQ,⛩️𝘕𝘦𝘷𝘦𝘳𝘺⛩,285,44354,15202,PIPER,24
#2YUYP09C9,Blaze,151,42444,2974,PIPER,20
#20VLYGQ8P,-LUCArio1003-,191,40943,7293,PIPER,22
#9P9G2UGGG,SwedenisGodly,195,38763,5200,PIPER,27
#80QQVY202,LEON,202,36582,5640,PIPER,21
