player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8JQGVQ9G,DMN Obliterator,342,68703,34498,PIPER,30
#9LCLUU9L8,TRYHARD,273,66207,17748,PIPER,30
#PPVPUCRUU,Rampi,323,63174,17674,PIPER,27
#8CRJJ9CLQ,Koko Kola,302,62826,18478,PIPER,29
#2RGYQLYU,BIGDAVE,298,60283,24066,PIPER,30
#VJ092G2L,politicavocado,293,60153,29092,PIPER,29
#9RGQLPG2,CheetoDorito,284,59115,21857,PIPER,24
#LLYGVU88,Raker,261,59034,16359,PIPER,26
#PYGVCPPRP,Shibimaru,270,58628,14794,PIPER,25
#LR92LCLQ,RMFA,349,57926,31784,PIPER,25
#9CCC2J2J,Lunytic,252,56618,11873,PIPER,28
#98VJJGUG,Sinkatze,370,54567,41114,PIPER,25
#P0980YGP,Stego!,267,54540,17381,PIPER,26
#CY0Y0YG,Novaks,291,53939,22006,PIPER,24
#8GRPCV0G,SOMEONE🌧,300,53767,15122,PIPER,25
#YCU9JLJL2,j&R D,287,53554,13153,PIPER,25
#LUVJLQC,ｃｒｙも,214,53109,11577,PIPER,22
#2JL2YJG0Y,FAZE DREO,242,52512,8151,PIPER,28
#PVVU88UP,Spyman55,255,51370,17226,PIPER,26
#28UYVUUL,Empirical,303,50983,27830,PIPER,24
#29LCYPLCQ,Ultros,306,50644,19430,PIPER,25
#2RQ8LGLYR,spirit duck ☵🦆,247,49863,14836,PIPER,25
#8CRR920J0,Trike,272,49898,14299,PIPER,22
#80RRYGLYG,DMN_Noob,243,49301,19966,PIPER,22
#QYYV2Q0U,BO| Peyton,229,48955,12759,PIPER,27
#GRGJR9LV,J3zuzhax,263,46853,12783,PIPER,22
#2GP0UU0U8,Andrei,267,44646,16715,PIPER,24
#982LLJJLQ,Typhon,230,43323,13022,PIPER,24
#P2LU80RGU,Jason Triple,271,42989,19142,PIPER,21
#PCJPCCCRY,⛩J y b l e s,228,39100,8806,PIPER,22
