player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#GC08UVV,BubbaBrawls,345,78220,28346,PIPER,31
#2QPQ90V,走 | LilJay,240,69821,11199,PIPER,33
#8998V8CR,defl8ed,325,69362,29468,PIPER,28
#RGRVCY2C,꧁ UC|Junior.e_꧂,325,69081,24206,PIPER,29
#20P8JQL2,1Target,283,68398,25842,PIPER,30
#8PV92RPRC,Darko,381,68008,52049,PIPER,33
#9J0GQ2VY,𝒥𝓊𝓀𝒾𝓃𖤍,290,68327,23432,PIPER,30
#88G8G0UJL,Dollface|はらふれむ,321,67700,14232,PIPER,30
#PJG0JVQ2,DaGOAT(ง'̀-'́)ง,308,67495,31647,PIPER,27
#9CJL88UQ,Smug,400,67503,56690,PIPER,30
#9P29PYJCU,Aaron xd,287,67203,15332,PIPER,29
#2JRUYUVQP,Daevie,268,66824,19916,PIPER,30
#2VJGL2JY9,FF | Ioxnic,359,66625,35557,PIPER,28
#28PP8G82C,ᴬᶜᵉ♠️,327,66073,19087,PIPER,26
#90R20URLV,Jump0ffACl1ff,326,66049,27633,PIPER,30
#ULJU9J9V,Initialz,382,65552,44426,PIPER,29
#29CLR9LPV,waterdrops,288,65601,14380,PIPER,28
#99289PPQL,Ryan,256,65343,9631,PIPER,28
#9VVGJ0CP8,FF|Ant 🐜,363,65125,19905,PIPER,28
#VJLUJUCQ,AJ,273,65115,14562,PIPER,30
#QJJJCYY,FF | Rock,328,64234,29297,PIPER,28
#28RPYCCCY,Índurä,256,64254,15626,PIPER,28
#YG02QJVJJ,VOW,329,63724,24047,PIPER,30
#PLYPJ29CC,Zay⚡︎,220,63521,6832,PIPER,35
#8RPGJPR9,MORS,321,63710,25766,PIPER,29
#PRYUY8RJ,YWpokemon,314,62946,26020,PIPER,26
#L9RPU99U,𝕷𝖊𝖛𝖎𓃵,274,62341,15328,PIPER,27
#PGRLVVVQC,FF | 47,295,62060,18961,PIPER,27
#8V9Q9800P,MonsterClock,330,61393,31780,PIPER,27
#LYY28JP,Tyecar,274,61236,18677,PIPER,29
