player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#200RJQR2,鳩 | Colonel🕊️,277,70067,14254,PIPER,28
#9UVQYQRQR,Matthewᵏıˡˡᵧₒᵤ™,361,69515,21945,PIPER,30
#8Y8UCVQ98,Asesinó,280,67004,25004,PIPER,29
#99QPJ9YUJ,🐓落ち込んだ鶏|燃える鳥🐓,354,66090,27268,PIPER,29
#20QGQ80LV,ᵗʰᵉGeka🔮,259,65955,17108,PIPER,30
#PVGV82VG,雷 | Hall,278,65383,16437,PIPER,30
#YLCLYJYUY,🦇Geby🕷️,303,64413,13639,PIPER,29
#PVPGCP2,Dudeks,264,63820,14780,PIPER,28
#2CQURCJ9Y,7|Legend64⛩,254,63617,8568,PIPER,27
#288P2LCPY,RW | Toxic,297,63500,17206,PIPER,29
#929V802R8,ʜʏʙʀɪᴅ|ハイブリッド🌀,457,63162,60710,PIPER,26
#8LYVJP29,Jonah,293,63088,24413,PIPER,27
#QR202GJ9,vry big chiken,306,62749,20697,PIPER,28
#U8LGUG00,HELLO THERE,335,62947,24233,PIPER,28
#GJC0CLQP,Abrez 🍰,307,61765,18628,PIPER,30
#L2R8Y8CC,Brawler,296,61651,5021,PIPER,28
#29RGQ9VVU,M4RL0N_01,272,61411,17207,PIPER,29
#U288C92,Zaddy,323,61041,25165,PIPER,28
#2QCRCUL00,☆ 한 |ӇƛƝƖҲ 🥀 ☆,337,60735,23602,PIPER,30
#YVLQ9UQVP,B0R0V,313,60546,27087,PIPER,29
#2JYQ20R8,KRATOS,264,60432,9132,PIPER,26
#LQ0U2LY0,MelonMan,269,59536,15266,PIPER,26
#8JJ9CGC2U,Z1 | Saku,290,58894,20102,PIPER,29
#YPVRURCYP,flyingpirate,221,58672,11179,PIPER,30
#CL8YJ20P,I♥️Short Girls,230,58630,12183,PIPER,30
#QRPCCLCR,PamIsThick,281,56118,14167,PIPER,25
#PCVJYRL8G,TRB|Ŝɩᤂ𝓈𝙝☔️,304,55783,10637,PIPER,32
#8QP0CVUL8,D3N15_0310,233,51140,12910,PIPER,27
#9VYPPRV2G,LD|Adrian🗡,192,47288,6633,PIPER,27
#YURR8CR00,LD|Disco Stu,230,46474,9555,PIPER,22
