player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9LJG09PYQ,BIG|ANDRE|,311,68034,16877,PIPER,29
#8G929P2J,QC|Tweadle,291,67637,22419,PIPER,27
#8C22UQLR,Bot 4,236,66067,10718,PIPER,30
#9LJCYY9Q,BIG | WİšĦ💤,278,65646,14112,PIPER,28
#9JLP0GG8U,spooky_skeleton,331,65378,31727,PIPER,28
#G8G2YY20,VinxSphinx,274,64265,20255,PIPER,30
#8JP88PQQ,MauSenpai,347,63639,26310,PIPER,28
#80P9LJLV,愛~ScoobZ❖,311,61734,13878,PIPER,33
#2QJC8QU2Y,ELITE AA,267,61526,8192,PIPER,29
#9VC90QJGY,Chrono,296,61294,12073,PIPER,25
#2RJC99LGJ,BIG | HACKA 👾,219,60318,5964,PIPER,26
#89U0JU0PR,7teamnss,282,60165,11362,PIPER,29
#R9RG8V2P,𓊈🆈yⱥrͥleͣxͫ𓊉,324,60068,25546,PIPER,28
#2RY02V8LY,BIG|Penguinz0🐧,218,60058,7534,PIPER,27
#82Y8088C8,鷗|Beast☯️♋️,265,59710,16243,PIPER,30
#2JL22VP99,Viality,245,58180,15527,PIPER,26
#9LP2PUJCQ,Aston Villa FC,313,57858,17777,PIPER,24
#C28JQCQV,BIG|serpy💫,228,57817,11815,PIPER,28
#PLRG2CGU0,BIG|Phœnix🦅🔥,279,57283,18280,PIPER,27
#PQ8LL8R28,BIG [THANOS116],334,57211,29614,PIPER,27
#2PVJ2VCPJ,𝒦𝓊𝓇𝓉༄,269,57444,12932,PIPER,27
#C98YCGV,Julian,245,56136,11821,PIPER,24
#2V9L02GUC,M@g|Rocky,299,56123,19068,PIPER,27
#QYYV0L,⛩SK|c u t e❤️,260,55940,16069,PIPER,30
#P2VRUYR9R,愛|Geko • 🦎,277,55608,19249,PIPER,28
#Y2CU9VCLL,ᏕᎮ|ꪑꪮꪮꪀꏳꪶᵘ꓄ᥴꫝ🌚,296,55552,18284,PIPER,27
#22R9PYCQC,BIG | ⛩SAMURAI⛩,245,54404,10743,PIPER,23
#J2UQUVPG,BIG|Tyrant🔪,260,53599,9458,PIPER,26
