player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2Y829JQQ8,2W | DanK DucK,374,77669,41917,PIPER,32
#22Q9J2UJV,Doggie Shower,402,74026,51533,PIPER,31
#J22GG88Y,2W | Aries,283,71774,20611,PIPER,35
#8JPG2QQJ,HZRD,395,71707,62222,PIPER,28
#22L80UVUR,Geeked,387,70640,47601,PIPER,30
#80RCJULYJ,LAWRENIUM YT,344,68754,19646,PIPER,28
#80R080GJ2,Hawk,315,67708,21520,PIPER,30
#9JLLQ92Y,2W | Elevation,277,65979,25163,PIPER,35
#2QLGC2Q,❌Abraham10❌,361,64157,39901,PIPER,28
#20VRVJUVJ,BD | Jets,287,63093,25528,PIPER,32
#L0QURJ,AlexTheGreat,373,61973,41556,PIPER,27
#Y9CV8JY,Jackalope🐰,318,60357,31911,PIPER,33
#220ULLVLV,➪Trʜᴀsʜ,266,56558,20182,PIPER,30
#QQQUC2P9,𖤍hash➶,351,57172,43991,PIPER,30
#920YJLVPG,Fallen📿,286,55130,20324,PIPER,31
#8QJR8928V,satyen7,238,53095,12785,PIPER,30
#UJL0YVV2,mango ☯︎︎,286,51775,19685,PIPER,27
#LJQ0YGU,ashurr,296,50365,23016,PIPER,26
#99C99JQGR,V1|BeastRoss,236,48153,6752,PIPER,22
#2UC2UU2,MNK | Nite,313,47615,29382,PIPER,26
#GJUCQG9G,They Don’t Know,285,45146,17465,PIPER,26
#920UV20RJ,V1 | LilHuddy爱♡,207,44787,7800,PIPER,21
#G002URRG,V1 | Ekimi 力♡,167,44246,7399,PIPER,33
#20Q09J8LC,TRB|INFERNO,220,42992,10823,PIPER,25
#RULLGR,Timmy🐧,283,40821,26273,PIPER,33
#LVPGRPP,Tyler💘HoYeon,355,40753,37456,PIPER,28
#22GCL82YR,inaPROpriate,261,32835,18388,PIPER,35
#RVJGUGY0,TacoPaco,172,29668,7035,PIPER,30
