player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2PUC9CU8Y,𝓙𝔁𝓡𝓪𝓨🥷🏿,375,80301,36425,PIPER,32
#2G2CPVGGP,LP|Zeus🩵Ares,343,74037,18269,PIPER,30
#J8LPCLR9,⚠Ramsey✊⚡,440,73178,31977,PIPER,30
#2YU8GCYRG,Bouncy Bob,305,73177,25391,PIPER,30
#PQ0GVUP0R,Bonk🥞,359,71369,27870,PIPER,28
#PLG0VVJ9C,Zotake,290,71140,14920,PIPER,30
#L89LYUVL,(っ◔◡◔)っ ♥ Kunai,216,70718,10504,PIPER,30
#2UJPPGR8U,充|Chris🍜,275,70410,15316,PIPER,35
#9VUGCGLR9,BOT 5,275,70248,16703,PIPER,30
#282CP9URC,zgcalla,291,70270,19597,PIPER,28
#PGUV8VG2Y,Nukie,257,70009,25710,PIPER,31
#8RULG2Q9,𝓙𝓚𝓲𝓾𝓼🥷🏻,377,69959,40233,PIPER,30
#9CCRJ2Q9L,lex,299,69486,21112,PIPER,30
#2LR0CRQY0,Sam,288,69194,18633,PIPER,30
#98CCU22QV,MaybeMortis,293,69126,19298,PIPER,35
#2YQJU2RU2,BR|MatTh3Starツ︎,265,68949,9703,PIPER,35
#8YUULJ0GL,Pipe BS,292,67562,19411,PIPER,30
#8R9YGVVCG,SK | Sebasᴳᵒᵈ🧸,372,67948,24024,PIPER,32
#C2LJ9JJQ,༄𓆩𝓢𝔮ข۱∂ ஃ๛,259,67401,11290,PIPER,30
#8PPPJJPUJ,TKD Mr.Sponge,290,67422,14078,PIPER,29
#P08PJY9J9,Brabs no!!!,263,67204,12649,PIPER,28
#QY02RJ2Q,独 | Jasonnn ツ,287,67833,25772,PIPER,30
#8CG2RYC2G,FA|Lukaaヤ,253,67040,12905,PIPER,28
#9C0LCPJ0J,DontCryBaby♥️,301,67105,24859,PIPER,30
#9Y2G0RQG0,Ze Destroyer,289,66126,20567,PIPER,30
#8GRJU29YY,☯︎NͥeͣoͫnFrostツ,311,66238,18299,PIPER,29
#9LLU98YJ,Kacchan,349,66104,29897,PIPER,32
#2PULQJJRV,𝓜𝓲𝓽𝓩𝓮𝔀🥷,314,63994,31273,PIPER,29
#2QYYC08V9,𝒮𝓅ℯ𝓍𝒾𝒻𝓎✞,185,35432,3390,PIPER,22
