player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8Y082R2GG,Savitar ⚡︎,367,87370,18861,PIPER,35
#29JRVJYYQ,求|King💙beast•ぁ,345,80849,16934,PIPER,33
#C2GPV0V,王 | Potassium,353,80381,19541,PIPER,30
#2LJRJ2VQ,chelsea,496,78543,30569,PIPER,33
#RJ00R9,Vin857,339,77620,14311,PIPER,28
#8CP8PYCR8,Antraxまかグ🍹,281,74923,6145,PIPER,29
#2L28C090Q,條|Iswålñîtý 🕊️,329,72934,16805,PIPER,30
#290QRQLPY,Crimsøn,263,70426,15121,PIPER,30
#8PQLC89CG,Tribe|Kobe,338,69574,20039,PIPER,27
#2PGJCVG8R,YT|RANKODBS,253,68614,10499,PIPER,35
#88JG029RL,David❦,324,67829,21446,PIPER,29
#8J0P282,Silver Fang X,364,68638,14556,PIPER,31
#8YPGV2Y8C,迅|LightNinja,369,66532,34218,PIPER,30
#20VVJRU8V,❦𝙾𝚞𝚝.𝚓𝚁❦,266,66379,16899,PIPER,26
#2RJP8VJQ0,ur friend,246,65997,13721,PIPER,30
#YV0J9VRG,諝 | Dan🕊️,330,64338,19769,PIPER,30
#8UC0Y09UG,⚽️ me=chris⚽️,243,62411,1538,PIPER,26
#RR889U0V,愛|CalmChess👑⚜️,429,63565,54788,PIPER,35
#98LR8YCRL,Rᴇᴠᴇɴɢᴇ❦︎シ︎,347,60700,24457,PIPER,30
#9CJRVYGCY,Lazerbeam,292,60692,13113,PIPER,31
#80QQU9VY2,SandwichGaming,216,60088,14008,PIPER,31
#8U0GY28G,戦|Max🪷,237,58106,13522,PIPER,28
#2LVQL28,WannaBeKD,241,57695,13763,PIPER,26
#92YVCJLG2,Jelly🍞,326,57378,9789,PIPER,31
#QRQLR2JR,PeͥสcͣhͫץGOD,236,56000,15146,PIPER,27
#89RYQ800R,Green Minion,255,54731,16550,PIPER,28
#YJ9QL0CV,愛-PowellZ✦,290,54555,14440,PIPER,26
#2VQUJPJ8C,戦|Flashy⚡,193,47749,6041,PIPER,24
#LU9YYYCU,具 | Cutter,304,45815,27788,PIPER,21
#8CPLVQ98R,»G͓̽ʟͥ͢✘ᴛͣᴄͫʜ«,229,43478,8050,PIPER,23
