player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#VP8U9P8,Carlos,288,65933,14409,PIPER,27
#2L9G0QLCU,SubZero Turnip,354,65290,32245,PIPER,27
#9JVUPJ222,Input your name,309,64376,22575,PIPER,30
#2RUYVP0J,정|🍁Cena°✨,349,65376,40821,PIPER,35
#GUY2VJJY,DâNïï£l,379,63861,46570,PIPER,28
#88LJVCQVC,cactus,286,61639,17253,PIPER,25
#PPUPCVGL,nathan,305,61538,20627,PIPER,26
#28URU288V,Konk Rete ✨,347,60738,30305,PIPER,25
#22VU8RLCY,德|Trap ✶,286,60453,23072,PIPER,29
#9VJCRL0RC,Solo_Frosty1,274,60000,20492,PIPER,31
#QJLQ2L0G,Face ツ,362,59445,43941,PIPER,26
#P80YQV8QG,Kirino,299,59326,12958,PIPER,25
#PVRLLJJG,Riseaboveme,289,59158,20305,PIPER,28
#200LYU22Q,el yeye king ☠️,319,58240,31051,PIPER,30
#PGVVJ9829,the best monkey,273,57917,17846,PIPER,28
#88YRRUURY,Zer.nox,254,57868,14295,PIPER,27
#8YQRQJLUY,vamosiak,226,57186,9970,PIPER,25
#822QL8CL,Littlegeesus,403,57021,43097,PIPER,23
#PR8PPQJ2,DANN¥§100%,357,56159,30259,PIPER,26
#J22RVQCL,playcom,302,55322,19232,PIPER,26
#2L0Q2L2VR,curry,372,54759,35314,PIPER,24
#GV8LYP00,Fallacia,338,54671,36244,PIPER,23
#L9VR8Q0PR,Bingo,272,54520,19819,PIPER,26
#28R2JVQJP,Exivious,310,54150,13161,PIPER,25
#2UJ2LCRGR,Brawler,286,53654,20184,PIPER,23
#V229V8L2,JDoughBo$$🏴‍☠️,341,52868,35466,PIPER,22
#Q288PPV9U,mossyswamp,177,52875,7751,PIPER,23
#8JGLJ9JL2,ＩＷｉｎ３ｖ３🔜,373,52357,43230,PIPER,26
#9VR928RPR,Solo_Gold,231,38407,12325,PIPER,22
