player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2GJR9RLGQ,Mlg,265,82905,18898,PIPER,35
#8QVV9R0L,Albin,340,81890,26007,PIPER,33
#8VPLP8GR,Clash♡,295,78897,26343,PIPER,35
#JJQ0C99P,Mathic,348,78138,32798,PIPER,35
#20CJR2P9Y,ㅇㅇㅋ,451,78127,28164,PIPER,30
#29LCPQJJ,IamBruce_113:),388,76363,58039,PIPER,35
#LQUJCQ022,Zamora🦁,272,76882,27550,PIPER,35
#98L9PYLGG,Tokyo,283,75202,25460,PIPER,32
#80RQYRPP,Fortizz,304,74855,12590,PIPER,35
#28GLLRG9,ANGELO,354,74835,39406,PIPER,30
#289LVCLY,LuRkz🩵Rae,233,74067,25085,PIPER,35
#P9UPCG0JY,Xavi🧩,407,72947,55685,PIPER,35
#UQQPVCR,TSW | Bobbie☦︎︎,342,72821,38242,PIPER,31
#8PVJQ2PP,𝐘𝐮𝐭𝐚¹⁷🖤,389,73231,42578,PIPER,35
#80CG8PQ0,Leo 🪙,310,71008,31119,PIPER,30
#VG9GUL9L,Pyro˚ʚ♡ɞ˚Chomp,324,68090,29415,PIPER,32
#9GUUGGVYJ,Stormy🤍🕊️,305,66420,29010,PIPER,30
#2V2L2U2J,AquaZ,327,66754,29767,PIPER,35
#9UUVGVPVJ,Casual Player,390,65923,50889,PIPER,30
#99Y2QY988,Bryan💘,252,64898,26244,PIPER,31
#PJYLGU0QY,💖누라공주💖,343,62684,45283,PIPER,28
#2UVRVG90Y,Heavenstrike,360,61624,37374,PIPER,35
#GQJ2JJ2J9,Andrés,194,59453,17047,PIPER,35
#8U2U0U0CU,redeemed,354,60000,39016,PIPER,35
#YQRJJPG,Fabrixx🦁,248,56698,15083,PIPER,35
#QQJLG9P2Q,Creased,212,50902,16459,PIPER,35
#LPQLVG2UJ,Lucki>,241,42613,23642,PIPER,34
#22098QGJV,ᵏᶤᶰᵍϟαɳƭσɳʏ❦,205,39633,12204,PIPER,21
#QGQU29UQC,FA|Zhap,210,38195,14351,PIPER,27
#Q2Q0YQC2G,Genesis❁ཻུ۪۪♡,112,4500,5093,PIPER,1
