player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8YVPRQU0P,Xen,286,76299,26737,PIPER,31
#8LRR8QCYR,imbadatgames,321,75318,22934,PIPER,30
#2209YVVPV,FF | 13,428,75106,25791,PIPER,30
#28LJR9Q8,Brawler,338,75075,32357,PIPER,32
#P298VJ2,UncleRuckus🥷🏿,272,74289,18561,PIPER,30
#8P0YL92R,OldMan,332,73986,24507,PIPER,34
#22PJRJ2,Taco,282,73717,19107,PIPER,29
#890VUGPJY,Best,301,73147,21209,PIPER,30
#PG9CRG2U,✧︎ 𝔇𝔦𝔬𝔯 ✧︎,316,72946,18520,PIPER,30
#8QVPVU89,FF | ⚡️FIERCE⚡️,388,72802,30350,PIPER,31
#RQJVL2R,FS l BlueJays,356,72828,17366,PIPER,30
#PQCU8GRR9,TN|GEARSHIFT,299,71757,19767,PIPER,30
#2RYQ2G90G,<c9>Max</c>,274,71567,16147,PIPER,31
#900L9CUR9,Drew,336,71512,19415,PIPER,35
#G00JPQ9Q,FF | Attigust,319,71346,27884,PIPER,30
#Q0PUGGQQ,QLS): JO MAMA,288,71347,10415,PIPER,30
#2889UGLP,Inspirasian,323,71431,16634,PIPER,30
#22J0YQ9Q9,NickBoss,300,71179,25760,PIPER,30
#22GJUJLG,EGG|NotABot,339,71014,35887,PIPER,30
#L9CV2YYQ,barn child,277,71028,7736,PIPER,29
#GU88R22,Hustro,323,70521,25814,PIPER,28
#UQRCLU9L,ripper magoo,281,70424,12653,PIPER,30
#89R8YPYRJ,StevenTsan,400,70359,44821,PIPER,28
#8Y80CRQRL,Eric,366,71234,36418,PIPER,35
#92G8CU0U,NinjaKaniel,311,70287,23690,PIPER,30
#89QP8Q2R,Thrillrz,265,70275,14659,PIPER,30
#GVY090V,FF | Ugly147,321,70097,28719,PIPER,29
#22R8PUUGY,Zennco,337,70079,38286,PIPER,34
#YCJLJ8J20,Chaos 🛸,309,70039,28259,PIPER,30
