player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#G89UGRJY,Xngel🥀Fire,348,84280,24868,PIPER,35
#92Y0Q9QYL,⚘｡𝐉𝐨𝐫𝐠𝐞悅,306,78163,14927,PIPER,32
#GLUGLYLV,✰Kizuͥℝuͣuͫ✰,268,67630,14102,PIPER,28
#CC2JGQ92,⚽SANGOKU⚽,305,67335,25280,PIPER,30
#280GC2C9C,😈SUS|Alex😈,266,66092,14435,PIPER,28
#20LJP8V8V,Flowze ⛱️,229,66549,7423,PIPER,35
#PRCQLY0UL,『𓆩𓃵|Aʏᴍ𓆪』❦,254,65199,17085,PIPER,27
#9UPRVV9J,R7|YAYO🤍,301,62378,21433,PIPER,26
#P2PR8VYU,VZyloxStarz_V,294,61797,21826,PIPER,27
#LPC28V0L,𝕶𝖎𝖑𝖑𝖏𝖔𝖞,217,60887,12260,PIPER,24
#2Y0V8Q2Y2,GhostKing,251,60426,13388,PIPER,30
#28JU8YLV9,Bodynsky,276,58294,20443,PIPER,27
#9PVYCCPVY,A̤̮l̤̮e̤̮x̤̮,262,57990,16300,PIPER,27
#809290P9G,부족 | 헨리 🤫🧏‍♂️,258,56381,16028,PIPER,26
#28C00LV0U,timpy,276,54164,14027,PIPER,24
#8P989Q2RG,$_PennYwise_$,311,53386,24678,PIPER,25
#GJQG8C29,hsajidh,339,53210,25074,PIPER,25
#Y0YQGQ8C9,Code: Stealth,235,52438,15352,PIPER,24
#89V0VR9UY,TT pegguithane,223,52353,7597,PIPER,28
#2J0JQLC9P,M7W,237,51939,19144,PIPER,25
#QGJ9C2Q,MainStarBoy,222,51575,9449,PIPER,24
#98LR9Y9J8,ØutLaw々AIMAN,305,51492,27515,PIPER,26
#8GGCRRQ2L,The Goat,180,51213,4048,PIPER,22
#9Q009VCJ,hysteria,366,55555,38761,PIPER,35
#228LGJ8RU,Zkys,245,48455,15560,PIPER,25
#2RUY809VY,carti🧛,257,46781,18229,PIPER,27
#80JR80Q9J,MythicalNinja,200,44443,7864,PIPER,25
#UCJYLUY,Doggy Miao,205,42972,10675,PIPER,30
#2L9UQVCC,Jaubi,189,39774,8297,PIPER,20
#28RUCJU9V,Cordite,128,34538,3707,PIPER,17
