player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9Q0GQ0R9U,plat.,331,73839,27886,PIPER,30
#PJG0RVP28,code: Mt25👑,334,71207,30040,PIPER,30
#P222LGP9V,KitKat🍫,356,70393,38840,PIPER,30
#22P2VQCLG,K9-Max,400,69214,43247,PIPER,28
#2GVGVGG2C,pognon runs na,396,69067,33603,PIPER,30
#2JJ9V89LQ,Jøhn,436,67651,45688,PIPER,30
#2GPCG90VQ,Levi🥷,349,66563,37158,PIPER,30
#2QYL00QU2,🎋K@!⚽️,249,64776,14342,PIPER,30
#9GQ8JP2Y9,Azazil👑,266,63799,16488,PIPER,30
#VQ9C0UPR,zachary♡,350,63253,27017,PIPER,30
#JUL2UV8R,Azazil💫,305,63270,19289,PIPER,26
#8U2UJLYRP,Amir,255,62793,14667,PIPER,30
#YRLU0R8RP,spungbob,254,62647,14541,PIPER,29
#8Q9JQV2GJ,MyFanBananaMan,255,62582,18234,PIPER,28
#292LJ092C,Creed 父,202,61735,6187,PIPER,27
#20U9RGJGL,Dragon Legend,319,61511,19956,PIPER,26
#8C9PJJ2UG,康｜HubbyWubby🧸,227,61209,13955,PIPER,29
#92L0U820U,solzera,268,61123,18891,PIPER,26
#8VYQRQC8J,Azazil✨,277,60394,18185,PIPER,28
#8QRGGLRU,Buu | 悪,239,60398,13679,PIPER,30
#2PG9PVUCG,『ℰ𝓂𝒾𝓁𝓎』,269,59691,7023,PIPER,35
#2PJ0YVCGP,🩵,279,59110,19954,PIPER,35
#9L9929UPQ,koverz💫,273,56371,21247,PIPER,30
#2UY8GYY8U,Hajin ₊˚ ᡣ𐭩 ⊹₊,310,55867,18297,PIPER,35
#PLGCR9GJ8,TTV|WINTER❄️,284,55503,15994,PIPER,28
#9G02U9J0,𝙎𝙏𝙀𝙇𝙇𝘼,218,54238,7432,PIPER,28
#PY8YL2CY,Zenzy❤️Etomics,269,54112,17542,PIPER,28
#9UURQQ88G,RT|Jmart,211,54001,13470,PIPER,28
#2RJLVCJQ9,LE|Haybaee 💕,243,53990,13410,PIPER,26
#9L0U9LR8,都|Skoozy❤️Lau,221,51269,11921,PIPER,35
