player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9V9GQJG8,Joyboy,347,88273,39887,PIPER,35
#2YGR8QYUG,Saix,285,81232,25566,PIPER,31
#CRQJYCRY,Alex,283,79201,25002,PIPER,35
#PLLVR29U,Polar,346,77628,34763,PIPER,31
#P0CU9CCY0,Jake|Mr.Chuck🔥,349,77198,44860,PIPER,30
#298JVR9UL,✞𝓐𝓻𝓽𝓲𝓼𝓽✞,298,76330,17733,PIPER,35
#QJ8Y20P,༺☾𝕁𝕚𝕞𝕞𝕪☽༻,286,76200,24992,PIPER,30
#QPU002,BS|YiHang✨,322,75190,34945,PIPER,35
#808J28QP,Smolder ♘,334,74085,26927,PIPER,30
#YJ9CQCYRQ,𝖑𝖚𝖈𝖆 🌩️,260,73178,14191,PIPER,29
#2LYRCQ8CU,Ethan🐬,289,73095,24042,PIPER,30
#V0YUUU0,Hobbes,354,72727,37064,PIPER,30
#URJPVYC8,✧𝒸𝓁𝓊𝓉𝒸𝒽✧,268,72974,21939,PIPER,34
#VUPCV8G2,Envi,229,71705,14925,PIPER,30
#28YJPLRJP,briouz,345,71656,25958,PIPER,30
#20Q8P0Q2,LwBaRb;€,315,71502,25862,PIPER,30
#YQRVL8V,🇵🇷|T๑xicLuiy๑,400,71222,46498,PIPER,29
#2LYYQQY2J,Baldr 👾,402,70977,53586,PIPER,30
#20UCL8GGQ,Jonah71620,340,70675,28058,PIPER,35
#2G0QQ0998,Lorenzo,289,70657,20509,PIPER,30
#VC920P,Iman,304,70344,29205,PIPER,31
#888UVUYVU,fire🤍crowアジャカク,311,70878,14671,PIPER,31
#VR8CPUVU,Baseball⚾️,321,70421,24782,PIPER,30
#2QLJ8LGV9,ishyaboi.oreo,373,70379,29484,PIPER,30
#28GYVC28R,CJ,260,69665,20114,PIPER,29
#8L2RPR8U0,Destroyer❤Chess,355,69473,27688,PIPER,31
#2R998V2U,ExterminatorJay,272,65567,16808,PIPER,30
#RY2U088P,robin,216,64524,6493,PIPER,27
#98GGLUG,sols ت,238,64182,11806,PIPER,35
#88GP92PRV,Solar,354,61541,21508,PIPER,29
