player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9G0CJPJPY,Taha♛,441,116266,41522,PIPER,35
#8VJ8GJR2,Nova💔Winkiii,421,114202,22457,PIPER,35
#R0GP8PQ98,Burger々みお🍹,164,111034,4797,PIPER,35
#GRLUYG0R,NiceShøt ;),391,110883,56502,PIPER,35
#2Q2JQURJR,Sērhat字,327,103002,10306,PIPER,35
#220PGLU02,MemxnBeer ϟ,410,102799,53527,PIPER,35
#PP8URGQL8,J. Álvarez ⁹🕷️,393,102258,47179,PIPER,35
#CPPV2PQG,OS|Meliodas,468,100738,80572,PIPER,35
#C2CULQP0,❤️‍🔥Mazoex♛,365,95738,18760,PIPER,35
#2G8YV2V,OFP|Adriャ,384,95160,40212,PIPER,35
#2RQGVLRVG,₹GuilleX,395,93738,57649,PIPER,35
#2V8VCP2L0,𝑩𝒍𝒆𝒔𝒔𝒆𝒅☁,398,93097,44765,PIPER,35
#YUGUVGYL,edson v2 🪐,387,91281,38164,PIPER,35
#2LR22JC9V,𝑻𝒐𝒃𝒊😮‍💨❤️,379,91005,11742,PIPER,35
#YGJRUGRR,Mįĥąîłø🐬,343,90298,26468,PIPER,35
#C9C0LCQP,PedroCastillo✏️,383,90017,49255,PIPER,35
#LP8QV80Q,CM|Fly🖤,303,89961,12938,PIPER,35
#9VRYY9VGP,Moͥdͣyͫᴳᵒᵈ,333,89804,14302,PIPER,35
#J8UR8002,SKC | Prozy,394,89012,54677,PIPER,35
#PY9982U8P,➪Nil⁰² 🍓,320,87898,28735,PIPER,35
#P2PCLQGLR,Clown💞Quantic,292,85860,11217,PIPER,35
#8RVLRVYYP,Youtube: YeiYei,385,85740,37302,PIPER,35
#JRYLGVYV,QLS|Glory™️,343,85598,21009,PIPER,35
#9GRCCV2G,DRAGON,331,85107,30096,PIPER,33
#28LR009C,rodrigo,320,84254,31961,PIPER,32
#2P2J8Q289,➳o𝚛𝐢āก➳💘,330,83891,18823,PIPER,35
#RC0PGGU0,Youtube:ilie_bs,402,84079,46673,PIPER,34
#G0L8RYU,⚡johanproxdシ⚡🇦,363,84105,27906,PIPER,31
#P0YRJUURG,衙 | Garnerio 🌙,152,31114,4931,PIPER,17
