player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2JLP2CV2R,IF|Aiden ✨,265,69150,22581,PIPER,30
#98CCPY8PR,valsoray,237,66126,15402,PIPER,29
#PY8QPLU8L,Doodoo,255,63886,12467,PIPER,30
#UYRU0RPG,Lolgamer BS YT,366,63862,25418,PIPER,29
#P82RCVJPC,𝐌𝐞𝐯ᵉˡᵖʳᵒ🕊️,213,61716,12365,PIPER,30
#2V0JUR8L,PhantomX,269,61700,22168,PIPER,25
#2VGG8UPUG,𝐈𝐧𝐤ᵉˡᵖʳᵒ🥵,318,60443,27538,PIPER,29
#20VL0P889,Galctz ⚡️,254,60166,11834,PIPER,30
#22YUJJR2V,⛩️|DiscoOnT0p🥀,248,60195,11887,PIPER,30
#22QU298JC,KӨBЯӨ,262,58712,22388,PIPER,30
#UVRQYLY0,运Maalikツ,301,58652,23827,PIPER,30
#82GVLC9V,Billy,297,58044,16158,PIPER,30
#989RU2JYL,★A K A T S U KI,290,57741,25980,PIPER,25
#92RPP8VP,Adam,238,57153,18088,PIPER,27
#8YUPQQQ9G,mino leon,295,57076,12015,PIPER,28
#29JQY2QR2,Jutt🩶ズわポベ,240,56812,9579,PIPER,32
#9GGU08028,Ryguy,334,55004,26803,PIPER,27
#PUP8Y9J8P,TRB|Skulled,219,54836,9376,PIPER,28
#90JQ2Q909,GX Ciabatta,209,54195,10319,PIPER,30
#P08QPJ298,Ash88,229,53755,11936,PIPER,25
#2G09R2QVJ,cute zone,272,53663,13139,PIPER,30
#2UCC0PCLQ,BCYS|Serenity,228,53646,13059,PIPER,25
#P0YVG8UY8,W-W,274,53674,7042,PIPER,25
#88CR2V9UG,андрюха,235,52666,13024,PIPER,26
#8PV99UQ0C,TZF1|mili0'void,226,53377,17093,PIPER,31
#80LQQQQJU,blind,255,52260,13997,PIPER,25
#2J0JQYVY9,SK|boy 🌒,207,51220,5153,PIPER,26
#29VJLURCR,최 | 𝙸 𝚋 𝚝 シ,286,49785,22408,PIPER,28
#22PJJ9U0,Carlos,276,48653,27486,PIPER,31
#2R2PCL8PJ,~Mystic~,210,44586,9543,PIPER,28
