player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#L209U29R,blablabla🙄,327,72974,24179,PIPER,33
#Y202YQRQ9,RUS|ELITE,311,72698,19889,PIPER,30
#2QC0RYQPY,AradZhy,284,72395,11205,PIPER,30
#Y2PL2L2V,luckyy ⚷,316,71628,20937,PIPER,30
#9PQRJUGQ,DP | b3c0n☔️,296,71423,21151,PIPER,30
#2800RC9PG,alkichoo🌿,274,70828,15768,PIPER,30
#9YCQ2RLRY,Măxìķķ🍉❤️,391,70152,20806,PIPER,30
#YJ9VVVYU,😈DM|dom|kom|😈,329,70448,18023,PIPER,30
#80C009082,Alexey_194,349,70000,24086,PIPER,30
#9RQ88PRL,✗|Thrxser❤️‍🔥,377,70115,37825,PIPER,30
#9GRJP0L9Q,Kaneka エゴイスト,282,69812,21913,PIPER,35
#9QC92GVLR,Магомедрасул,398,70010,51824,PIPER,31
#288Y080VP,REMA ¦YT ⛩️,372,69406,24252,PIPER,28
#2LP0J829P,Хефи:D,305,69178,20458,PIPER,30
#8G8G8GUR2,UH | Ilych52NGG,307,69352,12717,PIPER,30
#8VVU29PGV,π`VlaD™[£√¶°]|®,317,68815,16269,PIPER,29
#GJ9Y222R,Supreme,320,68331,24884,PIPER,29
#2092YCJR8,DDnl⚽️,326,67430,23430,PIPER,30
#8GV0RPRQV,артемий8494,334,67109,24450,PIPER,30
#PQGGR9UJU,⚘|Zen💘,272,67687,11609,PIPER,30
#9VQJGRLGL,sicknessエゴイスト,282,66219,17422,PIPER,30
#8V2CUL0JG,AnT | Krok🐣,329,66207,31722,PIPER,30
#CJ09G2LQ,МУСОР|ДА,302,66002,12833,PIPER,29
#2QP8C9UVP,Rustix🖤,350,66024,36352,PIPER,30
#U8R0JC0Y,Drakosha,323,65796,32373,PIPER,30
#2VU2U028C,Zᴏʙ'ɪᴋ?🍀,341,65407,26740,PIPER,30
#Y2CCQRRL2,♡︎ʀᴏᴜᴛ1ᴋ♡︎,279,65147,18219,PIPER,30
#PGR2CC90C,ᴍατ͢͢͢Øxx🐉,266,64230,19033,PIPER,30
#8CQLCC8QJ,DP | KAL0K🍄,232,61870,14834,PIPER,30
#9U8JRG0RG,ᴀɴᴅʀᴇɪ😡,283,62169,19657,PIPER,30
