player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#920L2Q2QY,BUM BUM,259,64053,6962,PIPER,30
#RLGPYCVQ,KingMiguel$,349,63372,9480,PIPER,26
#YG0VC9RP,Rayman,283,62103,15969,PIPER,28
#8RR82R9L,itachi uchiha,272,61283,8428,PIPER,27
#YPL8CLPVR,𝖈𝖚𝖇☁︎︎,226,59911,12942,PIPER,28
#PLLCLQYUP,𝕲𝖚𝖘𝖆𝖒💤,248,57693,8391,PIPER,25
#UL9JP92Q,KinG|Play,352,57370,36332,PIPER,30
#Y89JRYVQY,ɮʊռռʏ ɢɨʀʟ💋,284,56109,20495,PIPER,28
#PPCVJUCP9,⛩️|AVIAN|⛩️,270,55857,11091,PIPER,30
#JCCURUP,ZETA|Cobra,223,55784,12828,PIPER,27
#28G90LP,Trick46,318,55471,30451,PIPER,27
#P2LLC08J0,Blob,250,55466,16921,PIPER,25
#Q8QJCJ89Y,Patrick Star,200,55457,7397,PIPER,23
#82UCR0GPY,DDNLK,258,55298,11903,PIPER,30
#RPY2PU0L,7 |CHIMASTER,239,55005,11131,PIPER,25
#2CV00JVY,Chris P. Bacon,304,54049,27152,PIPER,26
#P88LQVGQP,MSP|Sniper⚜️,200,53791,7314,PIPER,25
#2G9C2082C,lukushi 🌔,234,53715,11224,PIPER,28
#8C928PCGP,suga,295,53591,25233,PIPER,26
#99GJJLLY,Epstein,248,53493,13823,PIPER,29
#RY9JJJ98,Monkey Butt,256,53425,14638,PIPER,26
#2RJ00LPUY,ChubbyAndo :),244,53257,9130,PIPER,25
#GCCQ2C2J,Crew♡︎Yheesh,220,52396,8010,PIPER,30
#LPUJ2RCLL,Gamerz eject,193,51624,3528,PIPER,27
#2C9YCCJ99,❣️💜Ramsey💗❣️,257,50543,10575,PIPER,25
#9PPJVR2PY,Pign🐻urS,216,49225,8239,PIPER,23
#PGUQGUQQC,Peppa D. Pig 🐷,207,48808,7397,PIPER,21
#2RVGVCRUR,Sander21,219,39662,10844,PIPER,20
#RYQQ8JCP,Caleb,149,39349,3711,PIPER,20
#QQGVVQGPQ,sigma_ohio,59,8947,340,PIPER,17
