player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#VR2VQ8,GTEEM,340,82589,40552,PIPER,31
#8C29UVUV,|🎲| Neutron.,283,80301,25922,PIPER,30
#290L8UVU,|🎲|Raw Egg,326,79832,27669,PIPER,32
#89LPU22YL,|🎲|Indra ☬,239,78704,20931,PIPER,30
#89Q2U0G2,スキビディ シグマ,355,78977,38546,PIPER,34
#882GQJCV9,Prime | Lošmi,331,78989,8531,PIPER,32
#90YY9JP0Y,Hiru,346,76901,28656,PIPER,32
#GYCJ220V,matt,285,74756,14839,PIPER,30
#YQQUL9L8Y,SmashThatBox,334,72869,25985,PIPER,30
#29V9CYU99,𝘚𝘯𝘢𝘪𝘭 🐌,347,72075,30475,PIPER,34
#PPVV0V2Y2,Magic🌒,270,71911,16706,PIPER,31
#VL2J8VR,SheLuvsTxnic,389,71700,42381,PIPER,30
#2PJ0JGG02,𝓙𝓾𝓵𝓲𝓪𝓷 🌹,335,71623,24189,PIPER,33
#2GLU8GRYJ,他|SpiderEye,275,70639,18033,PIPER,30
#YRPQGUQP,Akashi🩵Kathy,288,70480,27000,PIPER,32
#28CCQC0YU,Θrͥⱥnͣgͫegod🍊,301,70310,26017,PIPER,30
#2VPC99U2,عبدوالرحمان|𓆦,299,69447,9232,PIPER,30
#L0JP0Y2UP,Asher29,264,69256,20027,PIPER,30
#9CJLCR0CL,HISTORY,309,69210,24568,PIPER,31
#9P820L90P,あ•𝕞𝕒𝕘𝕚𝕔☆,261,68152,14798,PIPER,30
#28JQPPVYV,TW | fumble,271,67538,12694,PIPER,28
#9CRGPJ220,冬| Alex🩵,235,67276,7400,PIPER,30
#V0GJUG8Y,Cosmo🜲♡︎,254,67455,8020,PIPER,30
#2Y80C0G9G,STMN | LSO🍊,318,66391,19356,PIPER,28
#2UJQ82RUL,Enzo ✘,322,65553,25590,PIPER,31
#2QCJP0PUC,🥇Gt Man🥇,299,65118,21290,PIPER,30
#PYRLUY20,Champion,326,64583,27315,PIPER,35
#8QGVY0GUR,꧁BBOSS_YT꧂,281,64381,16954,PIPER,32
#2QGVG0QY0,caker🤍,272,61835,19854,PIPER,30
#JR8JG82C,chewiee🀄,238,54061,14214,PIPER,35
