player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2P22P9PG8,Argrpg|2019,265,67982,12108,PIPER,28
#L2JUG9PU,Blips,360,66630,34315,PIPER,28
#8J98U9882,❣️Adonay.N❣️,338,63680,20724,PIPER,29
#9928C9J29,VZ,254,63551,6828,PIPER,26
#LRG99GYP,CM|xxɗɳԅ☄,263,62542,13826,PIPER,28
#9PJUL8VY2,⛩️Martin プロ⛩️,245,62092,8040,PIPER,26
#2Y2CQ8PUU,The lynx27,231,61776,5520,PIPER,26
#2UV8GU288,HK🥀,302,60601,16550,PIPER,27
#LLJCY0RU,DaddyTua🐬,246,59948,17641,PIPER,29
#UUY0G2G,hisoka,338,59546,32619,PIPER,26
#YC2QGVVLU,ziemniakens,204,58642,12605,PIPER,25
#LPVVCLLY,getstickbugged,353,57933,4571,PIPER,25
#8G99PJUQ,Brendan,231,57600,11291,PIPER,26
#2QGP0P8CR,Tribe/frosty,277,57176,14334,PIPER,25
#8PR2YJRR0,Dawid Venom,236,57373,9459,PIPER,26
#PYQVYUVJ9,🌴AQM🍈MAKA🌴,266,56143,15195,PIPER,27
#2PJLGUG8,Cringe,225,56028,11177,PIPER,25
#28Y98JGVL,RosaParks🔪🤰🏾,326,55728,17570,PIPER,30
#CYGQU8U,Luan💫,252,55330,13298,PIPER,25
#Y8UPYR89C,shoto,237,55156,10017,PIPER,30
#8UC0RUVJ,YULOL,292,55143,23379,PIPER,24
#899YUUYPU,Cabi💫,227,55044,14224,PIPER,26
#82PQPGYCG,☔FAZE_proilas🔥,200,54573,3967,PIPER,28
#2VVUGR9RY,Juston🏹💘水,279,54248,9880,PIPER,28
#9QP9RYURU,CARLOS••GAMING,229,54224,12210,PIPER,26
#PRJUGU0GY,RaVen🥀,261,54368,18980,PIPER,26
#9LQV0Q9JL,SN | ReTro,240,53026,12314,PIPER,25
#9L9802GU9,BL | Milo,237,51825,9943,PIPER,27
#PPVYQ0R8L,Fer-_-,153,32044,3614,PIPER,26
#8RJ2J2J8L,MATEO.S.,136,23678,4551,PIPER,15
