player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#98VPPVQYU,XNG|Asesino,289,64008,16191,PIPER,27
#PYR92VG2J,Mod,239,61571,13215,PIPER,25
#Q8RCR92UP,CosmicStarr🌱®,227,61485,7349,PIPER,30
#99J2GPGCG,Black Sheep 🐏,273,60993,17232,PIPER,29
#8L9920VCP,𝓙𝓮𝓷𝓷𝓪❦︎✞︎,259,60281,13741,PIPER,27
#2VVPC20LY,Trae Young,319,59671,15569,PIPER,30
#2GLJUGYQV,Ryan,265,59560,14408,PIPER,26
#G28GJGP0,Chris 🖤,290,59127,24426,PIPER,29
#9RJC0YCQ0,EMBER|BR🇧🇷,286,58791,18720,PIPER,24
#LQJCYG2U,Baby tia,259,58989,18901,PIPER,28
#RL2LCJ9Q,RedBert,330,57755,13435,PIPER,27
#P0QY92U0,VeryScaryChair,242,57213,13297,PIPER,27
#8LPCGRQ8P,JAIROSPIDEY,273,56902,12949,PIPER,27
#PPP9PJ8GR,мιкα❤️ѕɕнηιтʑєℓ,249,56397,11034,PIPER,26
#Y9RQCGL2J,𝔩𝔢𝔬❦,270,56349,10557,PIPER,30
#P2Y98PQPV,SLFRasul,314,56438,22106,PIPER,27
#CCPV00R,GABO•,289,56072,23358,PIPER,25
#QGUV00L2C,f2p|aRingaDing,198,55512,4351,PIPER,28
#9YJ0L0URR,śpioch,252,55225,15103,PIPER,25
#222UL2JL,ĐɆ₱ⱤɆ₴₴łØ₦,231,55176,14099,PIPER,27
#2JC2CRJ0,mlgcool21,314,55420,28729,PIPER,30
#PUV8C89CR,ICEYY YT,276,54773,20853,PIPER,27
#PUCL9CQU,Đ₳Ɽ₭₴₱₳₦Đ₳₴,300,54685,17827,PIPER,27
#8QJQQ2Y9,Noah,268,54666,19560,PIPER,25
#LCG2YC9P,🏔️FriskIce🏔️,247,54268,17321,PIPER,24
#8L882YLRJ,Dark ꫝ,202,53982,7785,PIPER,30
#8JUUCRVR0,rico_rico🎩,260,52685,16187,PIPER,29
#829GC08C9,𝑍𝙚𝔡𝘳𝔬x,222,52579,9505,PIPER,30
#8JRJU9LR8,oɱɳι vɛʀֆɨօռ,309,52033,30375,PIPER,24
#U0PJ9GUP,XNG|Legendary,206,49536,10712,PIPER,28
