player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8P9LU0LU,thawty shawty,292,76427,27332,PIPER,35
#2GQLYVU99,Withered𓆩♡𓆪〆,336,73504,36292,PIPER,30
#20LUP8RG2,Mango🌊,325,69699,35776,PIPER,35
#29QYY9UVQ,Old Man,354,67595,30173,PIPER,35
#982RYYY9P,Jakso,285,67155,25579,PIPER,29
#29QUPJCQ9,⋆ sen ⋆,318,66158,35052,PIPER,30
#89GLC9UJ,:-,326,65886,35481,PIPER,30
#8LQJGRC88,Taeka🍓,257,65538,18598,PIPER,35
#GYYLCYYG,Toby,321,62744,24399,PIPER,31
#VPRU2G0R,M E T A,336,62542,35680,PIPER,30
#Y8UC0Q2JR,YT: Lime BS,341,61465,30965,PIPER,32
#GVP9RL0G,CosMic,263,60322,15771,PIPER,30
#98G9YL0VC,Sнока⚘✧,299,60170,17819,PIPER,35
#VGUJ8JLR,Razed❤️‍🔥,386,58730,44307,PIPER,30
#9QLVCGU0L,Shadaa,235,58743,17296,PIPER,30
#8QQU9G2U,Sophies#1fan,341,57613,26228,PIPER,30
#P8GLYUQGU,cutebÆ,376,55100,43402,PIPER,30
#CJL08JV,Lausa🌴,334,54327,34670,PIPER,27
#88ULQVQC9,Rice,183,54083,10997,PIPER,31
#QRCU9CYV,🇦🇱Ariksi🇦🇱,286,52890,17339,PIPER,32
#CUJ992UP,Råy🍥,333,47225,27224,PIPER,32
#RY29RYY,Reing ϟ,283,47447,25709,PIPER,26
#P2CPCJGY0,Phobos☯︎︎,300,44385,24179,PIPER,30
#29L90JU2,baby wyd🥷🏿,341,43625,33644,PIPER,35
#VYP0RPP,TargetLocated🧛,342,41522,31458,PIPER,30
#P8VJGGCQ2,SmolSlays😈,156,38905,9061,PIPER,35
#22YRRRVQ9,AWESOMEWINNER,283,37416,17739,PIPER,32
#Q2LYGYR,liq>.<,299,42439,29016,PIPER,29
#28RPGQPUL,IKindaSuck,379,41900,34496,PIPER,30
#L90PLL89,Bot | RalG8,294,31613,27728,PIPER,25
