player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#YPYCV82,Mayhem💫,343,66702,37902,PIPER,29
#9VYQ2JY29,錒|AbRn🥀,340,60619,34435,PIPER,27
#2GQC8RLC,你好|Hotpocketⁱ♡ᴜ,335,58570,25276,PIPER,27
#LQY09P0Y0,Floppy👊,163,57889,2328,PIPER,26
#299RYUJYC,•¥T|Swaggu |¥T•,227,54964,9789,PIPER,26
#20C0C2PY,Chemistry|☯️,295,54526,12257,PIPER,28
#RRJ2ULP2,IG|Kevster,286,54288,19275,PIPER,26
#8GCP0V9J,Sizzle,315,52681,26679,PIPER,25
#PVVQQJ0RG,Cyozine,243,52494,5755,PIPER,22
#9V99CCL02,M0RT,243,52025,8623,PIPER,23
#2G9PRUGG0,Green Miner,289,52038,18478,PIPER,27
#LGR008CP,翁|Ice🌧,306,51639,16579,PIPER,27
#22U9C899,🇨🇿zirol🇳🇴,218,51603,6853,PIPER,27
#8LVPLPQCU,𝒜𝓊𝑔𝓊𝓈🐣💛,306,51402,14739,PIPER,30
#9CLQYRJV,LeXeT555,237,51155,12672,PIPER,27
#P8YQJLGJV,The Ninja King,185,50683,6091,PIPER,28
#RYQYJQY8,Chronic|SpyC,265,50788,19132,PIPER,25
#9PUUG9R0V,hydra x,259,50483,11684,PIPER,26
#JCRJLUY8,Sweaty_Romeo,223,50345,15554,PIPER,25
#2VJ8YP2YC,Chosen_Noob,280,50112,23298,PIPER,20
#89GQ8U9C,Frank_isa_Queen,250,49914,9865,PIPER,30
#28L2980G,S͢k͢l͢n͢e͢w͢s͢,211,49192,9259,PIPER,24
#YV0P9GVY,Finix💞Z受けて,240,49276,9167,PIPER,28
#8UCURPJU0,ZICHEN2,175,48915,7818,PIPER,25
#PVCRV8V9,ZodiacClappedU,274,50010,16833,PIPER,27
#2YQJCL2PP,⛩_District_🎋,229,47564,11877,PIPER,24
#8LUUL8QV,Draco,224,45065,9068,PIPER,23
#2GU0V00P0,夜Destroyerラン,258,43123,14291,PIPER,30
#80QJJRRRG,OF|Vid💫,173,41037,5498,PIPER,25
#82YYRU0UJ,OF |DEEBS,169,38510,4884,PIPER,22
