player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9CUULPL99,STMN|Rena⭐,348,72819,32126,PIPER,27
#2G8QUYQUU,LG | Sky X,294,71907,20631,PIPER,30
#2GLYPUJUR,Ducky ♕,279,71177,16041,PIPER,30
#82RYR2L0,Zarlock🩸,244,70848,19103,PIPER,30
#V2PV99RJ,Solaͥriͣsͫ永🎩,261,70733,15890,PIPER,30
#YCVC2CJY,RW | Nick,291,70185,22048,PIPER,30
#2R0YG2QC,メ•𝐀𝒗𝒂𝒂🤍,352,70011,38407,PIPER,30
#9VPVL9LY,BrazilSensation,266,69616,17595,PIPER,30
#YP8P2GU,Samツ,317,69761,26140,PIPER,34
#PPU0J9LCU,𝕮𝕳𝕴𝕰𝕱🎩,289,69517,20888,PIPER,32
#2JQQ0CVYQ,あ | Ice Leon ❦,314,69276,23972,PIPER,28
#2CRPCPYQY,David uwu,343,68855,32036,PIPER,30
#8JGCRJRVV,babko •_•,354,68628,29887,PIPER,30
#28P890P,chucho🌟,326,68534,26999,PIPER,30
#2GPVQYUQL,Buu,343,68833,37356,PIPER,30
#YR2YLVG2Q,輪空• Wape ☆⇒,268,68162,17342,PIPER,30
#PV2028CV,lakitu^_^,290,68076,15231,PIPER,28
#2R9P20P8P,TheNomNomFactor,312,68058,24688,PIPER,30
#LQGVLJGC,👻𝓚𝓞𝓥𝓔🪦🥀,290,68347,26179,PIPER,30
#9P88G8LG,BHO|Sofia🤍Yuki,323,67793,25570,PIPER,35
#2RV92YLQ2,puss,312,67762,22148,PIPER,28
#2YRRYQJQ8,Cяіѕтіаиる,367,67882,43130,PIPER,35
#P0JPYYV8C,Kalthekツ,268,67002,16275,PIPER,35
#CYP0LQ2U,LA| Frost,281,66662,13226,PIPER,28
#2QRQ2J289,Viτaℓ✰,353,66005,21416,PIPER,30
#PPRVGGG,Azazil 🥷,355,65227,38637,PIPER,32
#2GRQQRQQY,0-o,296,64792,14744,PIPER,30
#2J0CRCJPV,無限|Infinity 🌌,272,64355,24636,PIPER,29
#2RQP92YJ0,KevKev 💞 Hiro,300,64208,26344,PIPER,30
