player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#JPGRR9UV,LC|Bowserr,375,100707,57229,PIPER,35
#RRJ8Y00,Fraax紫雷,397,99248,49419,PIPER,35
#Y22RU8YQ2,seis<3,344,96611,40588,PIPER,35
#2JUUJQCGQ,Cry💔🕊,400,94361,42649,PIPER,35
#20G8VP0JP,1S|ASTRA,304,93665,28422,PIPER,35
#9YYV2RRGV,ripcho#1,369,92505,42285,PIPER,35
#29RP882G8,Zyro女,399,91969,43770,PIPER,35
#LG2RY8GP,Cyclxne,368,91905,39938,PIPER,35
#2L0CYU0GY,Jevta,361,91625,42015,PIPER,35
#VYGUP9Q0,Ian🐙,379,90770,42171,PIPER,35
#J9V89VU0,Davi紫雷,404,90377,54365,PIPER,35
#L08P2YGR,Skibidi Igorr,302,90236,27067,PIPER,35
#80P800RQ2,dimiiyee,361,89707,38593,PIPER,35
#808P0PP2G,Nabito🐣💛,351,89691,35238,PIPER,35
#9LR29Y8JJ,~DyDy~,425,88808,52171,PIPER,35
#8CYYGJYLJ,Kuba PL,423,88851,39493,PIPER,35
#Y989VP,『Tiziano™』,477,87817,71282,PIPER,35
#8L99Y88QG,BliSkyy🍥,360,86916,41682,PIPER,30
#PYY22RV8,Steeef💙,323,86858,32249,PIPER,35
#PRY8CP8QC,Erik,333,85828,24422,PIPER,35
#PJ2YYQY9C,❄️Dario24™️❄️,408,84951,59574,PIPER,35
#JJY8YQ8Q,BMR |Agostino,262,84391,16847,PIPER,35
#2PUGC89JG,Giaan紫雷,377,83239,49464,PIPER,35
#92P92C9CR,Nitro💕,322,83014,27047,PIPER,35
#899L9CUP,Leandro ♛,464,82484,94881,PIPER,35
#8QYC0LLVP,Lambo 么,366,81761,31904,PIPER,32
#2YPJPGQQG,swamycico🐬,381,80406,51042,PIPER,35
#YGVQG2PLP,•☆Jojo冬,334,80544,31864,PIPER,31
#22PJR8QQL,Keras🩵,343,76493,36516,PIPER,30
