player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PGVYYQV2L,KingofHell,295,65483,15312,PIPER,30
#2U28JGVUQ,santobtw❦,329,62085,14069,PIPER,28
#8C2U08JU2,❤敏君❤,323,61602,30587,PIPER,27
#2YL220PP,JAMPJ,328,61460,26881,PIPER,26
#9L8VJJ90Q,FF | Bot56💜Xen,321,60732,28787,PIPER,31
#C0YGC0VQ,⌁Pℝo℘ɥeʇ⌁,265,60599,12120,PIPER,27
#9R99GQLQ,FF|ɢɪʟɴᴇᴀꜱ♡,293,60614,24217,PIPER,25
#LPY2UV00,MEJP,329,59240,30434,PIPER,26
#2R9UUG8Y,DiRaimzz,312,59212,26180,PIPER,28
#PYYV0CP0,🙊🙉🙈,356,58684,43433,PIPER,26
#80UQL8J,弔 • Juan𝒁,317,58451,31319,PIPER,26
#RC2VRUQG,や𝕒𝕜น🍄パク,285,57481,17112,PIPER,26
#P0VUUU28Y,Malek,333,57485,27947,PIPER,29
#9VV929UJ,EdgarT_1,244,56904,15794,PIPER,29
#PRQQU8VGU,Annonymous,272,56516,21740,PIPER,27
#GUJUVYL,Jovani,259,56029,13842,PIPER,25
#90RR00R0U,Anomaly,297,55932,32353,PIPER,27
#J2LP9JGQ,Leon,248,55871,15044,PIPER,28
#JJYCYVQ,🍆|PUYUÇH,263,55414,19679,PIPER,28
#2RVJ28LQC,FF | DatDood,282,55369,19257,PIPER,26
#2QPVG8P8P,❥Vortex❦,290,54875,19074,PIPER,30
#2PC8UG9V8,FF|Chaoss,257,54804,15505,PIPER,26
#2PLR2V0P,lil ho,289,54608,20911,PIPER,27
#P2YY2VUL2,kikokazuma,267,54539,22118,PIPER,26
#22UUC8JL,FF|Dad,275,54595,17540,PIPER,26
#2PGVY2L2,Trolliveski 🌖,286,54346,22123,PIPER,23
#922C9RCCP,Tatsu🧡Seagirl,285,54265,20679,PIPER,30
#P8YVR8PQ8,Too Smug,208,54172,14993,PIPER,25
#8RQPUUJU,MDCMARIO,300,54013,24656,PIPER,30
#L9PCVV200,doo:3,229,53786,15543,PIPER,28
