player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PVLQR8Y2L,Samm々みお🍹,331,88863,18502,PIPER,35
#2CGP0PRPJ,satan🖤,276,78749,13862,PIPER,32
#2RRU8JQ2G,BAP | Benji,269,71405,13833,PIPER,31
#80UU8JLUU,Sub 々みお🍹,238,67387,15754,PIPER,30
#2YYCP20VG,Tribe | Carlos,255,66706,8550,PIPER,26
#8UVQG8UC8,SchokoGamerStar,270,64423,12452,PIPER,26
#22J9G209Y,𝐵𝑠|𝓀𝒾𝓁𝓁🍹,277,63583,19124,PIPER,26
#290CPUYPR,🐬𝓛egendary🐬,269,62821,6076,PIPER,27
#9U082J0G,LootLlama❤️,298,62777,17683,PIPER,28
#9V0QLUUPC,❖| Astro•⚜️,205,62624,14450,PIPER,25
#9G2JLCL8U,🥀⛩FMC🎋,301,62176,9455,PIPER,31
#29QVC9ULJ,我|Raphi🥀⛩️,260,61887,11307,PIPER,27
#900LPC9L0,sunnyx💙,228,61740,10039,PIPER,32
#80G28JCG2,matthew🖤,267,61880,14382,PIPER,33
#PC9R0YPP2,심우진,279,61479,20316,PIPER,27
#8YJ9UQC9L,LZES|Lavablue❦,234,57832,10532,PIPER,26
#YLLV82JCL,pid-stu,283,56105,22001,PIPER,31
#9QPL82UY,karim,287,56184,17044,PIPER,26
#2GP2RUCCY,Icy,235,55841,13211,PIPER,35
#GCYYR2LY,Rish,305,54618,19569,PIPER,30
#2G829U9JQ,文BroskiツJurre文,208,54398,4826,PIPER,25
#QR20VQUL,kevin_web,231,53932,12378,PIPER,29
#82P2UCCJG,Awoken🕊️,250,53130,7866,PIPER,28
#2VV2PRQYJ,Rain🎋,241,52298,12505,PIPER,26
#L2JJQ2YLC,Fear|Cobra,239,51700,7191,PIPER,24
#9822CCLV0,戈女|ItzCiasttus?,266,51239,12282,PIPER,27
#9JYJYQ88R,ᴄʟᴏᴠᴇ 銃,279,49804,8219,PIPER,28
#PGLGLL9JP,SPIKE,231,41233,9441,PIPER,17
#PQ2292C8Q,ferda,231,38602,14616,PIPER,28
#RL2UU2PVY,Western,135,25221,7888,PIPER,35
