player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#UJUU0YGP,Brawl Master,331,73974,27924,PIPER,35
#8PPQR9G28,🌿🍁°Yøi° ツ ✨,314,73021,23393,PIPER,32
#PVRUL9JJ,SYM|🍁🌿COCO🎋✨,313,72503,27039,PIPER,30
#U82QLR0P,Ares,297,67416,24510,PIPER,27
#99JJYQGP,Wander,364,66471,32809,PIPER,28
#L92PCRL,Thecrazyones,331,66239,28246,PIPER,26
#PQQGC8P2,Brawl star,343,65464,20152,PIPER,28
#CGQ9QV9U,❦Ðµ§†ßµ§†êr✞,351,65366,32846,PIPER,26
#9JU8G9UQV,chargedragon,268,64068,17615,PIPER,30
#U2R0C8J,ViniBS,342,63881,20828,PIPER,28
#22802UU8Y,LaMelo Brawl,276,63836,22048,PIPER,28
#LCCGY0J9,Mercury_BlackYT,312,62946,20802,PIPER,27
#CV9LGC2J,DragonLTW,347,61488,30301,PIPER,25
#998Y022P0,Stiv┃ꐡ,239,60471,13327,PIPER,27
#PU8UPQYP,Greatness,304,59176,24132,PIPER,26
#RVU09C9R,tx_pk,284,58702,21540,PIPER,26
#GJQU2CR9,⚡️Sidman456⚡️,274,58219,17696,PIPER,26
#QYURQCVU,REHAN,270,58128,18817,PIPER,26
#22LQ2LY8,JustinTime,308,58026,28726,PIPER,25
#L8LV8VL28,🖤Jolting🥀,276,57155,15553,PIPER,25
#RCY9UUQ0,LeBrawl James,271,56265,24064,PIPER,23
#9L82CG92,TomatoJuis,312,56309,23213,PIPER,25
#2YJC9PU9,Carlos.51🐣💛,297,55728,16403,PIPER,26
#R89VCURJ,Impossible J,304,55316,22662,PIPER,25
#PVLRV0RGY,ᵏʳᵃᵐᵖᵘˢ♡ᵐᵒᵉ,293,55386,14062,PIPER,30
#2GULPQQ8,Sujers.R,296,54255,19469,PIPER,29
#VCQ9Q9G,Will,276,52511,18557,PIPER,26
#9RLRC8C,VOID_Marble$,273,52347,15723,PIPER,25
#8GY20VCJ,JMA,286,48561,14756,PIPER,25
#2YPLJ0UGY,mimis,320,47015,13819,PIPER,28
