player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#YGQYGCR,OS|Portox,336,107228,37028,PIPER,35
#PQ28JP0P,Jota 🐝,412,101644,50336,PIPER,35
#2CUYQ8RQC,BluesDaKilla🔫,352,100355,29790,PIPER,35
#98VPCJQ0C,sr america,413,97699,29095,PIPER,35
#L9VGJUG,Miki ❆,451,97852,75781,PIPER,35
#GRCYVRJG,家Eᴅɢᴀʀ⁵¹³🪐®,388,97211,66086,PIPER,35
#PGY9ULY,PollitoMan,362,96531,40713,PIPER,35
#GRVL8ULV,陰|SuperLab ☯︎,386,94961,24068,PIPER,35
#88QCRPLJV,Togi☁️🕷️,386,92656,48235,PIPER,35
#GVQUYG90,Shattered89,401,92194,42453,PIPER,35
#GGQ8VJVC,AO | Taikamylly,386,90951,11604,PIPER,35
#22992CG0G,元Leobardo™,427,90653,35307,PIPER,35
#PLQ0PYJVV,THB|Pipe♟️,389,90371,54727,PIPER,35
#2C2CVCG0,•Adriel🪬,384,88173,59497,PIPER,35
#2LGRP0UUG,Seishiro Nagi,382,88053,47276,PIPER,35
#8JV0CQLGU,𝙅𝙭𝙞𝙞𝙧☁️,339,87545,41624,PIPER,35
#2QCVLV2Q,Psychopant💧,297,91352,27477,PIPER,35
#2CR0JP20Q,Light,329,85908,29463,PIPER,35
#Y8CR9JL,Paulo🍌,331,85638,40290,PIPER,35
#80PC2QJCR,Cevichito🖤,405,85533,31172,PIPER,35
#URYL2JU2,F. Sagasti 🎩,426,83906,60824,PIPER,35
#LU8C9YJU,🍁ᴋιʀιᴛᴏ☬,324,82419,38080,PIPER,35
#URV2C0G2,VTR|Lito☀️,308,81696,33165,PIPER,32
#20GLRYC9C,❦𝐒𝐥𝐚𝐲𝐭𝐨𝐧✞,373,81317,20527,PIPER,30
#JUQ2JVV8,Orlando◢◤,413,81037,52746,PIPER,35
#2YPJLVJLV,EdwiiNZz 🕷️,354,81432,45807,PIPER,35
#2PJQ09RLY,John 🏜,239,79576,18086,PIPER,30
#8GUYJVUR2,↯❦Esneider➶↯,380,75768,46127,PIPER,32
#L8CRUQLL,Supercup❦🧸🃏²,224,60574,12310,PIPER,28
#QQ0Y9PC,R7 | SPARTAN,288,56359,20939,PIPER,25
