player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PYUJGV290,🪃在profikk🏔️,283,91530,8993,PIPER,35
#8L9RRRVGG,死 | Boogie🪦,360,79342,41765,PIPER,30
#QQR2CG8,Arrow,290,78630,27309,PIPER,31
#LQQRCGJ2,Kaizen|被才,374,79097,31425,PIPER,32
#PRY92YQC8,NapLynx,392,76207,49173,PIPER,34
#8QJJJLRR0,AFN🐒,339,75108,31826,PIPER,30
#9GQYLU2,ρικα⚡,325,74680,29326,PIPER,28
#P20VC022,VM|Bagel,369,74156,34346,PIPER,29
#82GVCYJY0,Droits,333,73978,35190,PIPER,29
#99JJYPVP,Gulleyy,293,73626,13813,PIPER,30
#8YLG80JY,Cato🦈,328,73293,29903,PIPER,30
#R0JY0J0,Goatやぎ🐐,345,73064,28653,PIPER,31
#GYRCPVQ2,BeSmooths,278,71478,16608,PIPER,29
#228002YGG,Purify🧸,347,71487,42117,PIPER,30
#20VJL82QV,JW Toes,323,71118,19474,PIPER,29
#VP2VY0C,Innsane,346,71197,30822,PIPER,28
#2CR2PVUCY,Pim,288,70869,22160,PIPER,30
#GYYYYRJV,Cute Dream,379,70861,36036,PIPER,30
#L2PLG2LU,Gooby ひ🪦,353,70626,29490,PIPER,29
#JR8RV088,bogdy,285,70453,16122,PIPER,30
#RY8RGVPJ,Asͥtrͣoͫ🕸,226,70007,6324,PIPER,31
#80LUVVR0J,[:/],304,69559,18543,PIPER,28
#8Q9PLGYYL,༄ᶦᶰᵈ᭄✿Tristan࿐,405,67589,39773,PIPER,30
#8L9LULYP,Meat,366,67646,28590,PIPER,30
#22LJJ8U0Q,Frosty,322,67343,30679,PIPER,29
#99JV2U8G0,ッVasha💙,312,66509,15953,PIPER,30
#80VC9VGGJ,papi chulo🐀,317,66191,29117,PIPER,30
#20URCQ98,JonahJLG,262,65938,11093,PIPER,28
#VPLRVGQ,Shinster,330,64871,26960,PIPER,27
#98ULQP0G,Illest >.<,453,65635,64438,PIPER,30
