player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9LRYRPYP,CEO|kai🐉,418,77203,58504,PIPER,30
#2C92CVPP,Jroll7,307,68381,23836,PIPER,29
#2GJ82RJJY,JLTツ,337,65421,19469,PIPER,27
#2LCQURG0,TheUltimateHi,326,65315,22657,PIPER,29
#20VLVYQVG,The Inquisitor,277,63407,13795,PIPER,25
#9Q2080LRJ,CEO | Brad🎭,301,63142,19113,PIPER,28
#82GRV8LP,Anosh,369,62023,31819,PIPER,26
#J9RLQCV,CEO|Raijin⚡️,315,61359,15026,PIPER,26
#8RQC029P,SaveOurStreak,299,61305,24028,PIPER,27
#2U2Y9LUV0,FireCat,299,59643,21878,PIPER,26
#YPP82JRL,CEO|Ham,298,59598,25964,PIPER,24
#8U900RRL,Alan,301,59141,26445,PIPER,28
#2P0PPJQVU,Bünny,248,57655,10142,PIPER,30
#PVYJGR8V,⚫️mamba🐍,272,57446,19139,PIPER,27
#CVCPJU,Ace,344,57363,27713,PIPER,26
#QL9GP0G,TRB | Ace,240,57173,13552,PIPER,30
#C0L82UG,Feitan07,342,55751,33292,PIPER,25
#RY9L9JU,Ice,277,55675,23415,PIPER,25
#JGV00VUR,Panda,287,55664,24259,PIPER,25
#9CUR2R2V,Nathan,277,55054,24098,PIPER,25
#VYC0LVLG,Nico,282,54523,18490,PIPER,25
#9GPPUQCYL,TOXIC DAN,260,54113,15621,PIPER,23
#22QJPV0QL,Song_Machine,285,54011,23082,PIPER,26
#888VG082V,Aires714🍄,306,52823,29146,PIPER,27
#8YPRGRL2R,iFamous.Ukr,288,52673,14177,PIPER,24
#QYR9VGVQ,Nogueira Master,227,52647,14052,PIPER,26
#2LQYULLU,Mason,272,51941,19646,PIPER,25
#2RV022PQG,Spectra,226,51473,12136,PIPER,25
#QGRJC2LQ,YOUR_MOM,276,51486,17559,PIPER,25
#8G9VLLP9V,BurlyCreature,225,50696,15423,PIPER,25
