player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#22VYGG9LG,𝕂𝕦𝕣𝕒𝕞𝕒♕,311,65592,23218,PIPER,28
#CRGJJ0J,Gkmaster,307,65441,19682,PIPER,27
#22Q8PGJLU,BST|Wolf Bite,344,64833,33243,PIPER,28
#PJ80PGPGQ,DB|POTATO GAMER,326,62747,23413,PIPER,30
#8QVVP9GGY,SSG | Goated,251,62560,13080,PIPER,28
#9VCGUJCQ8,GDog,364,62096,17775,PIPER,29
#9R8QYVG80,SSG|Mahrukh ツ,245,61170,11816,PIPER,27
#UJJ228G,Yair,327,61139,28033,PIPER,26
#Y2022ULR,Ninja P2,278,58298,17420,PIPER,25
#900282G9R,Sai 🚀,276,57644,16977,PIPER,26
#928RLPY82,Kai003,282,57362,20606,PIPER,28
#90RY9UQPV,XenonKing,269,56856,16127,PIPER,27
#Y8CR0288Y,Wo2 Evil Cat,294,56024,18110,PIPER,31
#PLJGL8CYP,Łighτiήg☂,281,55239,19907,PIPER,30
#VL9QV0JV,u1z,217,55006,10602,PIPER,28
#9L2RVRC,JCB7199,286,53868,14435,PIPER,25
#LG2CV8LYP,SSG|Cray,239,53784,14163,PIPER,26
#Y9PCJQ0U,GX Sparta,245,53705,12606,PIPER,28
#PG8JQQ90C,𝐏ɪʟ𝑜ᴛ 𝐓𝑜ммʏ,245,53165,16437,PIPER,23
#9LUC8989,serenitynow,329,52186,18278,PIPER,23
#LLPVVCGJ,takujimo,331,52161,33533,PIPER,24
#GU9C9VJV,Dallas,261,51549,15989,PIPER,25
#9PC2JUR,Tyler,323,51481,26320,PIPER,25
#QY2GL0JG,каят々,215,49646,7425,PIPER,28
#RR802GU2,PilotTommysWife,267,46807,17119,PIPER,24
#U9YQ92RV,ALPHA Beast,191,43388,9760,PIPER,26
#8LQC9LJR0,DR |SOABYT25,248,43111,12623,PIPER,30
#2RCQYV8RJ,鳥|Tenzin🪽,184,39882,6274,PIPER,21
