player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8UR88C8G,Ethan,301,76507,28738,PIPER,30
#RJRL9CPG,enigma ❦,351,72024,24965,PIPER,30
#2CVV8P29,KactusIsHaxed,316,67949,24499,PIPER,30
#2J2V82UQ8,♠️Ry🍞Bread♠️,339,67504,33690,PIPER,30
#9V99C8Y,BH | Peenut,311,67287,36872,PIPER,30
#RUCRR22U,Lukie🤡,314,66450,30005,PIPER,29
#RQVQPLRL,CaptainDoggo,317,63128,29420,PIPER,27
#2JUPC2CV,Bouquets熟 •～,291,63095,28581,PIPER,31
#828CJV99,LilBowlOSoup,350,62476,35620,PIPER,30
#PVPU2UJUY,BH|rock,334,61118,33416,PIPER,29
#GRR8020Q,-KroKodilly-,274,59619,21119,PIPER,30
#20VVY8QYV,shatter❤️‍🔥,294,59598,23323,PIPER,30
#RG8L0JVG,David,311,58259,25775,PIPER,26
#89VVUUUYJ,CalebAyers,278,57870,21722,PIPER,25
#288YPQQGU,BH|Taze 🔌,315,57617,30285,PIPER,30
#2UYJRVCVP,🍥Mirage夹,294,56992,25711,PIPER,30
#GRJC9YQ,Ice Phoenix,355,55084,34550,PIPER,27
#8CG2GQLRP,Plan B 💊,325,54405,35257,PIPER,27
#PVCVQPV,Washed TK,252,51521,20333,PIPER,26
#8PU8J2UVJ,اطلس | Atlas,227,50557,14527,PIPER,30
#YQ82RGLC,BH | Morty,356,49730,19995,PIPER,28
#8QJG0V0V,Legendary527,260,48379,19154,PIPER,25
#8QQRQU8YC,tyler🖤carrying,316,48439,30576,PIPER,30
#292YVU22,BH | Thor,298,47105,16689,PIPER,30
#8RURQYPJG,Washed Rigz,201,46313,12075,PIPER,22
#9YLJJU2,༺Mitch༻,268,43641,20519,PIPER,26
#LPVCC2YQ,HeiHei🐔,172,42123,8061,PIPER,22
#YCQULGV,Big Sean,154,41413,8065,PIPER,20
#2JJ8J08JV,WashedAnklez,290,37778,10455,PIPER,26
#9L0LUPRY0,Cactus Jack,96,14790,2653,PIPER,26
