player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2PGUV98P,Black Dog,366,74965,35094,PIPER,30
#VPCJ2CL,LZ|Sprite 🍋,378,73828,39336,PIPER,30
#9J2L2CCC,Suloj🕊️,339,64501,24861,PIPER,26
#8U9PP8VC,Citzea Kashmir,360,64002,39259,PIPER,30
#2JJ9Q9U8P,Rob1nhoet,260,54651,16202,PIPER,25
#Y2RYQQ0GC,obah,267,54418,7063,PIPER,25
#JYUUCQPL,ALEX,332,53253,21804,PIPER,25
#2GLR9YLPG,BobWillEatYou,250,52885,12856,PIPER,23
#LQ92CJ00G,𝐓𝐓𝐌⧎˙˙˙ᵕ̈,296,52481,20851,PIPER,26
#9GPLQQ2RL,Brendanius,252,52354,15791,PIPER,25
#LU0G2PVQ,Yael,277,52315,14194,PIPER,24
#2GGJ0Y20,Cameron,290,51830,26913,PIPER,26
#2QPRG08UU,Pl,280,51620,21904,PIPER,25
#U89UY808,Lilo & Sniff,239,51529,11393,PIPER,23
#9JJ0LLLV,NezFox,221,50920,11253,PIPER,21
#22C9URUVV,scrull,232,50816,15393,PIPER,27
#L0LLLR2CJ,The GOAT|Ahmed,266,50650,14590,PIPER,27
#UJ882LLG,Sai,214,50096,10935,PIPER,24
#2VCR9U8RJ,R•E•D•R•U•M,255,49278,16893,PIPER,22
#CC9YVULY,Lindley | リンドリー,223,48925,14427,PIPER,26
#9GJU8QLY9,(-DRAGON-),216,48735,8744,PIPER,25
#2GLQG9CYC,TheGMB,187,48438,3897,PIPER,24
#2JJ9QJG2,ThunderCloud,196,47070,6482,PIPER,26
#88UCYCYL,jhdkshdkhjh,293,46927,13878,PIPER,22
#9CRPQJ08,B.K+B.K,277,46052,16831,PIPER,28
#L8R9R8V,LED ZEPPELIN,292,45774,24480,PIPER,25
#28P22929U,🌘yrphyzii🌒,279,45843,14866,PIPER,23
#8J82JQ8V,✨S3be✨,216,43593,4779,PIPER,28
#P2RGQVVJC,Zh | XriFlend⭐,178,37171,7264,PIPER,20
#8CYULVV2J,itsben,140,34066,4897,PIPER,25
