player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#92VY20CQQ,CuRRenT 🦕,401,81767,44788,PIPER,35
#9L0Y2JYJR,joshu,349,80411,20006,PIPER,35
#PCRQR0R8,AKP,369,77028,42824,PIPER,33
#20JG9G9YP,L.A,331,73803,29804,PIPER,30
#PRPJ8QC98,Fer,346,68810,20609,PIPER,29
#GVJY202Q,rayray,249,66953,19512,PIPER,29
#9C90L2CPY,Glizzylicious🌭,337,65322,28103,PIPER,30
#80PJYGVPL,Inferno✯,210,65076,11370,PIPER,30
#YR99GGJC,Kcrop,304,64743,17103,PIPER,29
#G9PQJRPC,Daniel,379,63426,26183,PIPER,30
#GJULG2Y,Großey 🍉,278,60877,22182,PIPER,30
#8YULP2PR,Naaman,296,60569,26433,PIPER,27
#9QCY0LP0,cute fish🥀,309,60109,21246,PIPER,30
#PU0RQG9V8,𝙎𝙚𝙮𝙪𝙧𝙞 ϟ,241,59310,16001,PIPER,31
#88PYPUPUU,lil dorsey,254,57879,19129,PIPER,25
#LPCC2CGJJ,AKP²,221,56720,15140,PIPER,30
#9J880G0L,𝕮ɑ𝖑𝖊𝐛🧌,275,54711,25250,PIPER,28
#2JPV8PQYV,joshusmallpoo,186,54101,9134,PIPER,31
#G0JQ2JG8,AaaaaZzzz,237,53768,14542,PIPER,30
#9P0V0L2V,Fufi,292,52608,23067,PIPER,28
#V9JUQRV,ThatMuslimKid,264,51576,18633,PIPER,29
#8CYVRUQR,Brocaleb,322,51262,23765,PIPER,25
#2QGP0CLRY,Chachou 🐷,297,52618,26499,PIPER,25
#J82GY8G,Sauce,306,47913,24635,PIPER,22
#YYP08VLV,1ManArmy,195,47785,10108,PIPER,21
#28CRP2982,xDangerz,246,47754,14676,PIPER,29
#LGJ8GL8,sleepy dweez 🌙,413,47530,49681,PIPER,30
#8Y8VQLJP,♡︎Last|King♡︎,283,44223,20564,PIPER,24
#9JCP9U2,Aids,303,42475,25829,PIPER,25
#PPJ2GUQ90,❤️Sprout❤️,149,28610,8150,PIPER,30
