player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#82V808QUU,Knownforgaming,330,72610,33200,PIPER,29
#RUQJRRQC,Lord Epic :),344,70270,29291,PIPER,28
#CURLRJ8Q,payson 🌺,343,61425,25524,PIPER,31
#UC2G0280,TTVChippy&Abo,237,59542,14855,PIPER,29
#2289R0CQ8,MrDadJokes,270,58590,16162,PIPER,23
#20R9LG0,Sota,260,56706,22759,PIPER,26
#YCLPGYUJ,CrowLuvsMe🪶✨,319,56279,27218,PIPER,29
#GQVQ9G8V,BOWSER,267,56084,18262,PIPER,22
#LJ0YU2G0J,Oceans,259,55421,9161,PIPER,28
#JJJQR8YC,brawl master,272,53159,19579,PIPER,27
#28PY2U2PL,jarhead2.7,232,52929,10629,PIPER,26
#90JQCJ80P,N҉E҉X҉U҉S҉,309,51661,13448,PIPER,23
#2RVCURRJY,mr taco,249,50692,15967,PIPER,23
#CG8LQGY8,Scout,307,50529,16714,PIPER,24
#PQ9URUJG2,Repy,227,50440,6579,PIPER,26
#2G00QVRL,Prada,234,50265,11136,PIPER,23
#200LJ2980,RIPBozo,210,49264,9169,PIPER,23
#2G8RJ8YVQ,chAotiKrussian,285,48922,22706,PIPER,23
#R2YRP2UP,Jacob,236,48590,10979,PIPER,23
#PRLPU9LY,ggez44,292,47861,23854,PIPER,23
#20RU9UJ8,TheEverling,238,47159,12964,PIPER,22
#UL89JQ2J,jacki147,238,47055,10448,PIPER,23
#99LLJL9RL,Mr. cuddles,194,46845,8466,PIPER,23
#P2PJ0VVY,Obliterate,201,46311,11413,PIPER,26
#2U0V80PG,HT|JoseCplus™☺,233,45743,12232,PIPER,29
#2228PL299,Uncle Touchy,273,44926,17805,PIPER,25
#2P0PY299Y,Łord_Finėsse,244,44185,13059,PIPER,22
#QL2LP9JV,Cheese,159,43815,3453,PIPER,20
#PPPG9RPYR,daniel.exe,203,43386,8179,PIPER,25
#808VJ8YPU,TheOGCrawfish,279,41581,16915,PIPER,23
