player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#LLGCGYPR,Uemo|亞人,308,62521,22798,PIPER,29
#PJLJRQ2Q9,Diamond!,321,61084,14625,PIPER,28
#VUJRR0V8,♈|carlosug®,258,60192,17694,PIPER,26
#L82V92P,Brett05,248,60131,11118,PIPER,26
#YLLJ2GYY,BST|KingMars,333,59974,30319,PIPER,27
#2UVR8YYQ,BST | Monke,326,59167,30305,PIPER,27
#299YJL20,CopperIUD,332,59167,30350,PIPER,27
#UC8JVC89,BBJS5,301,58717,14448,PIPER,26
#8CCRLGL99,niv :(,274,58435,18088,PIPER,30
#99P89C88Q,DanielR,291,57851,15675,PIPER,24
#2C9LJ2RLY,☠️R_I_P☠️,319,57652,17902,PIPER,25
#2CVRG2JRC,im_mayo,242,57624,11641,PIPER,28
#20G2YRJUC,DarthVedder,225,56144,10922,PIPER,27
#8V9PCV0V,Brando,287,55890,23261,PIPER,25
#2CVL22J8,☢☠ESTIVEN☠☢,251,55313,11640,PIPER,26
#9Q8RCQ9V,aMario,199,55375,3970,PIPER,27
#JV9JUUV2,⛩️BST|Kalasis⛩️,301,55306,25424,PIPER,26
#282RJ89RV,johnnyr0ckets,319,55063,25562,PIPER,27
#80R88RUC,abelbrawl ttv,320,54739,32453,PIPER,26
#2J0PGQLQJ,Aaaaaraiz,214,54689,13122,PIPER,26
#U8G99RY0,:D,269,54617,17627,PIPER,25
#2PJL09P22,NA|KingJay,225,53709,13520,PIPER,22
#YYG2LQRG,BST |Jgamer90,250,53129,17422,PIPER,23
#Y9UQUYGQ,game_all_day,269,52730,17411,PIPER,27
#9R2R92C2P,༞𝓜𝖎𝖌𝖔🕷️,323,51969,20360,PIPER,23
#9PLR9990R,OrganicRavioli,227,48053,11781,PIPER,25
#9PGL008P,植 | Orange Peel,280,47576,15722,PIPER,30
#LLVCQYC9,Chef Tony,268,43795,18065,PIPER,21
#29GU2JGCG,BST | MattyIce,290,41764,22407,PIPER,24
