player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#GULPV2QJ,TookiTanuki,343,66777,32173,PIPER,26
#YR9LQ80U2,614NT,235,64621,8936,PIPER,29
#2Q88CCL90,Hunter💞愛してます,228,64488,8894,PIPER,29
#8RLP89YQ8,Joel el pro,305,61623,21231,PIPER,25
#2GR88QV9,Reρlayz,270,60474,18001,PIPER,26
#Y9LLQRGV9,FaZe|Hunter,260,59006,15690,PIPER,27
#9CP90VRVY,mic95,278,58897,21526,PIPER,27
#JQ2JYYR,PM64,256,56792,13769,PIPER,27
#8GCG9002P,jclip007,282,55870,19509,PIPER,23
#222P0JGGG,pickgbt,241,55018,10106,PIPER,28
#PQRQY8VQJ,Penguin,260,54427,19193,PIPER,27
#PP28V9LRY,тяу тяу тяу,237,52596,11094,PIPER,23
#YCV820J0,Rubber_Ducke,251,51979,13638,PIPER,27
#9CJVUYJCG,𝐎𝘀𝗮𝗸𝗮🏖️,258,51145,15562,PIPER,30
#G8UG0GQ9,TF|VanillaCoke,260,50105,21139,PIPER,23
#JU0VJ09,(•|Amin|•),233,48820,14379,PIPER,27
#8CCU998Q0,CG|Coop,267,48452,13494,PIPER,27
#2VPQYQ8JJ,EEEHU,303,48389,26440,PIPER,22
#2RJJ2YPJ8,Tax Fraud,229,48310,10404,PIPER,21
#28QLYP9RQ,GoldenPanda,195,48251,7862,PIPER,27
#Y92QLG2PU,CG|Luis 🐍,234,47056,8936,PIPER,26
#2Y8Q292C,KEDARIA,181,46831,5530,PIPER,27
#29J80VY2V,àîyãh,211,46716,7916,PIPER,23
#PG9RRLYUJ,EthanBrawl,233,46231,15063,PIPER,23
#8YLR20PC,CommanderStump,234,45992,11255,PIPER,28
#CQJJPYUG,David L,237,45863,13664,PIPER,26
#90YG2UYYL,🔪knifeBS🔪,193,44459,7231,PIPER,23
#9PVGP9988,Goku,171,44235,3566,PIPER,20
#2J2LCJP2,Sledman,205,43773,11911,PIPER,21
#GC8Y82QG8,CͥG ͣ|ͫ ᵍRͦaͩge,146,40095,4141,PIPER,15
