player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#92GUGGCJ,despacito❤️bran,425,79911,49537,PIPER,30
#8RU2YR22C,Tiny,326,73502,25787,PIPER,30
#VR20GUJ,bran❤️despacito,345,73417,35147,PIPER,30
#P2QJ8GG8,AE|Roble,352,70014,28235,PIPER,30
#28RCQJRCG,NightmareRandom,366,65455,37228,PIPER,27
#9YVJ8GUR,Calvin,302,65222,12462,PIPER,30
#8R8VQ99VQ,Doncatla,319,65163,27118,PIPER,28
#9C0LQU99,Yoshii 🦭,323,65017,28426,PIPER,27
#80U9Y0V8,iTz Ant,377,64141,26476,PIPER,28
#RUYPRVGR,Alan,256,60302,13236,PIPER,26
#8QGJQL0R,Spades👑,327,58679,25180,PIPER,25
#2RP2PU0VJ,hacknslash,329,57665,20605,PIPER,25
#QJQLPL20,hercツ i need u,288,56727,23674,PIPER,29
#2Q0CGQ92L,YodaMan69,221,56303,10216,PIPER,28
#JLVQQ22,𝓢𝓪𝓲𝓭🦅,266,55499,7260,PIPER,24
#GQL0UYJ,ᴅᴜᴋᴏ,302,55472,20321,PIPER,25
#88RRYR8JC,Metro💸🚀,289,55897,16667,PIPER,28
#99RG90PQ,🦫Reaper457 🦭,373,54898,40672,PIPER,25
#288CGQGL,SleepyNightツ,333,54384,22562,PIPER,29
#9PR8Q2Y2L,Brawler,291,53205,26716,PIPER,25
#92C9CP9LL,Champ,299,53593,19210,PIPER,27
#C20VYJPG,Maeo_Sr.,247,53021,14886,PIPER,25
#90808V00V,AwesomeAye,269,51554,16246,PIPER,28
#8CPYGCPUG,Łucıđ,260,51465,14302,PIPER,25
#UGGP9Q,iCombust,256,50723,16882,PIPER,22
#RVLPCUUY,SSG | Cream,248,50087,13052,PIPER,25
#9VQJ0YC0C,JamesSuperZen,203,49000,7064,PIPER,25
#9P9R8UL29,Genie4President,327,49118,34487,PIPER,24
#VVUYCCC,7 | Rajdeep,307,48449,29231,PIPER,35
#LY88C9GYC,Detullo,202,38275,10153,PIPER,22
