player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2QJ82YL2,TopNotch,306,71557,31047,PIPER,30
#2GPGVYL0,BigSak | ☠️,363,68094,34238,PIPER,30
#V0UGY9CC,FAT BABY,302,67238,22522,PIPER,28
#2JQJCPQC8,петя мма,360,66487,32694,PIPER,30
#PUQ8U08G,Javy | ☠️,346,64398,35343,PIPER,27
#8YP2P2JQ,Thuglife™,365,61111,29086,PIPER,25
#GUJ9QJQL,Cotter,332,61102,37802,PIPER,25
#29VGVRCV,ragu,327,60499,34166,PIPER,30
#RYQRRLR8,edlegend21 | ☠,375,58961,28107,PIPER,28
#GY0L02CR,Carlos | ☠,308,58168,24719,PIPER,26
#YU800UJC,Monzeeto,274,57318,19009,PIPER,24
#9L9UPUJL0,Sako,231,57290,16233,PIPER,26
#JC0J8LJV,Jurassic Q,291,55749,9547,PIPER,23
#9QCCQLUPG,zeeto,206,54521,11170,PIPER,27
#Q0UJJU2,ImpulseZX,271,54834,15733,PIPER,27
#8JPQU2PLY,dabreeze,262,54203,20105,PIPER,26
#882VG80GY,lahey,256,54161,17949,PIPER,25
#VRJQL8PQ,THC YA LATER,281,53635,18988,PIPER,22
#22GJJPRLG,DONKEYKONG>.<,305,52981,23935,PIPER,28
#2G8P9U9Y,redleg,297,48480,25577,PIPER,21
#2QRQLRPY,IcedBibster,293,48281,19150,PIPER,24
#PVVJ90JVJ,Ayres,190,47341,8443,PIPER,28
#2GLUCRUU,Vondanky,261,45558,21235,PIPER,23
#9YC2JYJG,Spicy Noodles,275,43248,25313,PIPER,25
#VQ9P829,MellBell,304,43176,21502,PIPER,24
#Y9QJ0R9,Skillz™️,245,42969,17767,PIPER,31
#GJRYRJ9L,《FCU | Cryptic》,235,42544,12701,PIPER,25
#JUU20VRY,Free Hong Kong,291,41323,19648,PIPER,22
#RYP29VC0,avp pro,269,42211,13363,PIPER,24
#290PG8P0,Briz,299,40785,22547,PIPER,29
