player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8CL0LY00C,The Myth,303,80414,23705,PIPER,30
#8GJR2VJJU,kent,333,77644,32274,PIPER,34
#28Q9VRU8U,『Nico✾,327,77599,29674,PIPER,35
#80LP09YL,MB | 石灰岩,282,75021,26300,PIPER,35
#GU0J2JG,Retired Cosmic,332,73209,36102,PIPER,33
#8C2YUUL0,CROW_theBro,326,72617,25756,PIPER,31
#G22QCCG,ZioN,341,72177,27937,PIPER,30
#VY0CVP9Y,セバスチャン,415,71171,51175,PIPER,31
#22G2YL9V2,Supreme_BK,290,68137,25323,PIPER,30
#L2VGC00P,tylerBestNA,278,68051,18734,PIPER,35
#2UPRGRLJQ,地|MaurixZapz★🎭,345,68056,29600,PIPER,30
#PURUYUVGQ,🔱 WBE|Pxseidon,260,67980,24532,PIPER,30
#82PQP89Q8,honami,328,67930,28699,PIPER,35
#9Q00C8GY8,Quizuno,291,67744,26572,PIPER,30
#Q8Q9Y2L,flower ✿,333,67559,29034,PIPER,26
#2PLQLGQ2,MB|WAIFULOVER,267,67226,21169,PIPER,28
#PPLCVGC2,Aliubお,351,66879,25487,PIPER,28
#2QYC20PRP,MB | Fox,283,66804,26418,PIPER,35
#2RY9J8GG8,Savage Bacon,321,65572,20825,PIPER,27
#8LG02PVG,SpicyOrange,304,64264,28843,PIPER,26
#29JCUVJCL,😴,336,64338,31066,PIPER,29
#9L29CU8YL,Bot 69,311,63950,24761,PIPER,25
#UGV9LGL,Pegasus,383,63521,17320,PIPER,30
#VCULYPYG,Auden is the,237,63411,11847,PIPER,28
#LRQJC92QY,._.,287,62976,15942,PIPER,26
#9QCUR28GQ,Mmewtwo,325,62726,18509,PIPER,30
#QQ0LVLR8,QC/Willy,259,62080,18955,PIPER,30
#28CQUUCQ2,Menz Gear 5🎀,240,61457,14256,PIPER,29
#2UJYPYJCL,MB | M@TT,376,61450,43170,PIPER,25
#PPCR9QLJP,MagicHead,329,60481,31299,PIPER,28
